"CUADRO Nº 15: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 6 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"CATEGORIA DE OCUPACION",,,,,,DESOCUPADO
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR",
,,,,,,,,
"Provincia CARHUAZ (000)",13777,1605,2064,7087,145,1676,312,888
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",49,49,,,,,,
"Profes., científicos e intelectuales (002)",682,556,,121,4,1,,
"Técnicos de nivel medio y trab. asimilados (003)",251,150,,87,12,2,,
"Jefes y empleados de oficina (004)",274,274,,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",1094,173,7,738,31,145,,
"Agricult.trabaj.calif.agrop.y pesqueros (006)",5025,12,,4964,49,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (007)",600,,235,311,23,31,,
"Obreros construc.,conf.,papel, fab., instr. (008)",786,139,264,357,11,15,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (009)",3801,177,1527,383,9,1393,312,
"Otra (010)",33,33,,,,,,
"Ocupaciñn no especificada (011)",294,42,31,126,6,89,,
"Desocupado (012)",888,,,,,,,888
"Hombres (013)",10246,1011,1817,5708,104,886,7,713
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (014)",41,41,,,,,,
"Profes., científicos e intelectuales (015)",391,304,,83,3,1,,
"Técnicos de nivel medio y trab. asimilados (016)",175,91,,76,7,1,,
"Jefes y empleados de oficina (017)",163,163,,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (018)",411,102,2,248,16,43,,
"Agricult.trabaj.calif.agrop.y pesqueros (019)",4534,9,,4486,39,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (020)",505,,206,258,22,19,,
"Obreros construc.,conf.,papel, fab., instr. (021)",773,137,260,350,11,15,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (022)",2416,116,1331,165,3,794,7,
"Otra (023)",33,33,,,,,,
"Ocupaciñn no especificada (024)",91,15,18,42,3,13,,
"Desocupado (025)",713,,,,,,,713
"Mujeres (026)",3531,594,247,1379,41,790,305,175
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (027)",8,8,,,,,,
"Profes., científicos e intelectuales (028)",291,252,,38,1,,,
"Técnicos de nivel medio y trab. asimilados (029)",76,59,,11,5,1,,
"Jefes y empleados de oficina (030)",111,111,,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (031)",683,71,5,490,15,102,,
"Agricult.trabaj.calif.agrop.y pesqueros (032)",491,3,,478,10,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (033)",95,,29,53,1,12,,
"Obreros construc.,conf.,papel, fab., instr. (034)",13,2,4,7,,,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (035)",1385,61,196,218,6,599,305,
"Ocupaciñn no especificada (037)",203,27,13,84,3,76,,
"Desocupado (038)",175,,,,,,,175
,,,,,,,,
"URBANA (039)",5545,1133,784,2501,102,581,149,295
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (040)",30,30,,,,,,
"Profes., científicos e intelectuales (041)",534,440,,89,4,1,,
"Técnicos de nivel medio y trab. asimilados (042)",169,100,,59,9,1,,
"Jefes y empleados de oficina (043)",187,187,,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (044)",801,121,3,529,29,119,,
"Agricult.trabaj.calif.agrop.y pesqueros (045)",1103,,,1079,24,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (046)",364,,111,210,19,24,,
"Obreros construc.,conf.,papel, fab., instr. (047)",466,93,134,222,6,11,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (048)",1412,108,522,242,6,385,149,
"Otra (049)",29,29,,,,,,
"Ocupaciñn no especificada (050)",155,25,14,71,5,40,,
"Desocupado (051)",295,,,,,,,295
"Hombres (052)",3671,680,677,1737,71,270,5,231
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (053)",24,24,,,,,,
"Profes., científicos e intelectuales (054)",299,235,,60,3,1,,
"Técnicos de nivel medio y trab. asimilados (055)",114,58,,51,4,1,,
"Jefes y empleados de oficina (056)",102,102,,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (057)",298,65,1,180,15,37,,
"Agricult.trabaj.calif.agrop.y pesqueros (058)",956,,,937,19,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (059)",301,,96,172,19,14,,
"Obreros construc.,conf.,papel, fab., instr. (060)",458,92,132,217,6,11,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (061)",804,66,439,92,2,200,5,
"Otra (062)",29,29,,,,,,
"Ocupaciñn no especificada (063)",55,9,9,28,3,6,,
"Desocupado (064)",231,,,,,,,231
"Mujeres (065)",1874,453,107,764,31,311,144,64
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (066)",6,6,,,,,,
"Profes., científicos e intelectuales (067)",235,205,,29,1,,,
"Técnicos de nivel medio y trab. asimilados (068)",55,42,,8,5,,,
"Jefes y empleados de oficina (069)",85,85,,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (070)",503,56,2,349,14,82,,
"Agricult.trabaj.calif.agrop.y pesqueros (071)",147,,,142,5,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (072)",63,,15,38,,10,,
"Obreros construc.,conf.,papel, fab., instr. (073)",8,1,2,5,,,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (074)",608,42,83,150,4,185,144,
"Ocupaciñn no especificada (076)",100,16,5,43,2,34,,
"Desocupado (077)",64,,,,,,,64
,,,,,,,,
"RURAL (078)",8232,472,1280,4586,43,1095,163,593
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (079)",19,19,,,,,,
"Profes., científicos e intelectuales (080)",148,116,,32,,,,
"Técnicos de nivel medio y trab. asimilados (081)",82,50,,28,3,1,,
"Jefes y empleados de oficina (082)",87,87,,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (083)",293,52,4,209,2,26,,
"Agricult.trabaj.calif.agrop.y pesqueros (084)",3922,12,,3885,25,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (085)",236,,124,101,4,7,,
"Obreros construc.,conf.,papel, fab., instr. (086)",320,46,130,135,5,4,,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (087)",2389,69,1005,141,3,1008,163,
"Otra (088)",4,4,,,,,,
"Ocupaciñn no especificada (089)",139,17,17,55,1,49,,
"Desocupado (090)",593,,,,,,,593
"Hombres (091)",6575,331,1140,3971,33,616,2,482
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (092)",17,17,,,,,,
"Profes., científicos e intelectuales (093)",92,69,,23,,,,
"Técnicos de nivel medio y trab. asimilados (094)",61,33,,25,3,,,
"Jefes y empleados de oficina (095)",61,61,,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (096)",113,37,1,68,1,6,,
"Agricult.trabaj.calif.agrop.y pesqueros (097)",3578,9,,3549,20,,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (098)",204,,110,86,3,5,,
