"CUADRO Nº 9: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, HIJOS SOBREVIVIENTES, HIJOS NACIDOS EL ÚLTIMO AÑO, SEGÚN DEPARTAMENTO, PROVIINCIA, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, CONDICION DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","HIJOS NACIDOS VIVOS",,"NACIDOS VIVOS ULTIMO AÑO",PROPORCION,,
,,TOTAL,SOBREVIVIENTES,,TOTAL,"ULTIMO AÑO",
,,,,,,,
"Provincia GENERAL SANCHEZ CERRO (000)",9323,24060,21605,,302,89.8,1.3
"De 12 a 14 años (001)",620,4,4,,1,100,25
"De 15 a 19 años (002)",1036,131,129,35,98.5,26.7,
"De 20 a 24 años (003)",1082,623,613,77,98.4,12.4,
"De 25 a 29 años (004)",978,1197,1167,77,97.5,6.4,
"De 30 a 34 años (005)",861,1577,1539,64,97.6,4.1,
"De 35 a 39 años (006)",760,1876,1805,33,96.2,1.8,
"De 40 a 44 años (007)",688,2186,2064,14,94.4,0.6,
"De 45 a 49 años (008)",613,2257,2083,1,92.3,,
"De 50 y más años (009)",2685,14209,12201,,85.9,,
"PEA (010)",3325,8107,7494,84,92.4,1,
"De 12 a 14 años (011)",24,,,,,,
"De 15 a 19 años (012)",190,37,35,7,94.6,18.9,
"De 20 a 24 años (013)",403,209,207,20,99,9.6,
"De 25 a 29 años (014)",473,497,480,20,96.6,4,
"De 30 a 34 años (015)",420,658,647,26,98.3,4,
"De 35 a 39 años (016)",358,786,763,8,97.1,1,
"De 40 a 44 años (017)",301,830,790,3,95.2,0.4,
"De 45 a 49 años (018)",288,922,886,,96.1,,
"De 50 y más años (019)",868,4168,3686,,88.4,,
"Ocupada (020)",3065,7873,7274,81,92.4,1,
"De 12 a 14 años (021)",23,,,,,,
"De 15 a 19 años (022)",149,33,31,6,93.9,18.2,
"De 20 a 24 años (023)",321,200,198,19,99,9.5,
"De 25 a 29 años (024)",420,471,456,19,96.8,4,
"De 30 a 34 años (025)",386,609,600,26,98.5,4.3,
"De 35 a 39 años (026)",343,755,734,8,97.2,1.1,
"De 40 a 44 años (027)",291,808,768,3,95,0.4,
"De 45 a 49 años (028)",277,891,856,,96.1,,
"De 50 y más años (029)",855,4106,3631,,88.4,,
"Desocupada (030)",260,234,220,3,94,1.3,
"De 12 a 14 años (031)",1,,,,,,
"De 15 a 19 años (032)",41,4,4,1,100,25,
"De 20 a 24 años (033)",82,9,9,1,100,11.1,
"De 25 a 29 años (034)",53,26,24,1,92.3,3.8,
"De 30 a 34 años (035)",34,49,47,,95.9,,
"De 35 a 39 años (036)",15,31,29,,93.5,,
"De 40 a 44 años (037)",10,22,22,,100,,
"De 45 a 49 años (038)",11,31,30,,96.8,,
