"CUADRO Nº 9: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, HIJOS SOBREVIVIENTES, HIJOS NACIDOS EL ÚLTIMO AÑO, SEGÚN DEPARTAMENTO, PROVIINCIA, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, CONDICION DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","HIJOS NACIDOS VIVOS",,"NACIDOS VIVOS ULTIMO AÑO",PROPORCION,,
,,TOTAL,SOBREVIVIENTES,,TOTAL,"ULTIMO AÑO",
,,,,,,,
"Provincia CAMANA (000)",19735,43419,40391,,800,93,1.8
"De 12 a 14 años (001)",1665,8,8,,1,100,12.5
"De 15 a 19 años (002)",2432,270,264,78,97.8,28.9,
"De 20 a 24 años (003)",2414,1587,1562,218,98.4,13.7,
"De 25 a 29 años (004)",2149,2855,2796,192,97.9,6.7,
"De 30 a 34 años (005)",1989,3922,3830,175,97.7,4.5,
"De 35 a 39 años (006)",1939,4850,4687,99,96.6,2,
"De 40 a 44 años (007)",1669,4901,4706,31,96,0.6,
"De 45 a 49 años (008)",1419,4880,4606,6,94.4,0.1,
"De 50 y más años (009)",4059,20146,17932,,89,,
"PEA (010)",7632,17314,16386,214,94.6,1.2,
"De 12 a 14 años (011)",52,,,,,,
"De 15 a 19 años (012)",466,73,70,8,95.9,11,
"De 20 a 24 años (013)",997,565,557,37,98.6,6.5,
"De 25 a 29 años (014)",1051,1229,1196,58,97.3,4.7,
"De 30 a 34 años (015)",1052,1908,1867,69,97.9,3.6,
"De 35 a 39 años (016)",1033,2446,2370,27,96.9,1.1,
"De 40 a 44 años (017)",901,2633,2522,11,95.8,0.4,
"De 45 a 49 años (018)",778,2610,2464,4,94.4,0.2,
"De 50 y más años (019)",1302,5850,5340,,91.3,,
"Ocupada (020)",7279,16753,15845,204,94.6,1.2,
"De 12 a 14 años (021)",49,,,,,,
"De 15 a 19 años (022)",425,66,63,7,95.5,10.6,
"De 20 a 24 años (023)",913,536,528,34,98.5,6.3,
"De 25 a 29 años (024)",996,1168,1136,56,97.3,4.8,
"De 30 a 34 años (025)",1000,1830,1790,68,97.8,3.7,
"De 35 a 39 años (026)",988,2331,2258,24,96.9,1,
"De 40 a 44 años (027)",872,2541,2433,11,95.7,0.4,
"De 45 a 49 años (028)",758,2536,2390,4,94.2,0.2,
"De 50 y más años (029)",1278,5745,5247,,91.3,,
"Desocupada (030)",353,561,541,10,96.4,1.8,
"De 12 a 14 años (031)",3,,,,,,
"De 15 a 19 años (032)",41,7,7,1,100,14.3,
"De 20 a 24 años (033)",84,29,29,3,100,10.3,
"De 25 a 29 años (034)",55,61,60,2,98.4,3.3,
"De 30 a 34 años (035)",52,78,77,1,98.7,1.3,
"De 35 a 39 años (036)",45,115,112,3,97.4,2.6,
