"CUADRO Nº 3: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia CHUPACA (000)",45901,10209,13413,9508,8118,4653
"Sin nivel (001)",2688,123,134,303,838,1290
"Educación inicial (002)",475,454,10,11,,
"Primaria (003)",16144,7090,1117,2182,3284,2471
"Secundaria (004)",17959,2542,7939,4254,2597,627
"Superior no univ. incompleta (005)",2347,,1602,507,188,50
"Superior no univ. completa (006)",2742,,1101,1112,446,83
"Superior univ. incompleta (007)",1424,,943,279,172,30
"Superior univ. completa (008)",2122,,567,860,593,102
"PEA (010)",19799,236,5789,6602,5382,1790
"Sin nivel (011)",995,5,66,156,426,342
"Educación inicial (012)",18,5,5,8,,
"Primaria (013)",5006,123,595,1293,1947,1048
"Secundaria (014)",8462,103,3209,2965,1901,284
"Superior no univ. incompleta (015)",1136,,563,389,155,29
"Superior no univ. completa (016)",1923,,691,871,330,31
"Superior univ. incompleta (017)",654,,280,211,143,20
"Superior univ. completa (018)",1605,,380,709,480,36
"Ocupada (020)",19037,224,5390,6377,5280,1766
"Sin nivel (021)",969,4,60,148,422,335
"Educación inicial (022)",15,3,4,8,,
"Primaria (023)",4897,118,568,1263,1914,1034
"Secundaria (024)",8090,99,2994,2863,1853,281
"Superior no univ. incompleta (025)",1077,,522,377,149,29
"Superior no univ. completa (026)",1820,,623,839,327,31
"Superior univ. incompleta (027)",639,,273,205,141,20
"Superior univ. completa (028)",1530,,346,674,474,36
"Desocupada (030)",762,12,399,225,102,24
