"CUADRO Nº 7: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia CANDARAVE (000)",4063,38,1141,1327,1125,432
"Agric., ganadería, caza y silvicultura (001)",2675,35,648,766,846,380
"Pesca (002)",10,,1,4,4,1
"Explotación de minas y canteras (003)",1,,1,,,
"Industrias manufactureras (004)",111,1,35,30,38,7
"Suministro de electricidad, gas y agua (005)",19,,7,5,7,
"Construcción (006)",351,,155,132,59,5
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",173,1,55,66,44,7
"Venta, mant.y rep. veh.autom.y motoc. (008)",6,,4,,2,
"Comercio al por mayor (009)",5,,2,3,,
"Comercio al por menor (010)",162,1,49,63,42,7
"Hoteles y restaurantes (011)",55,,20,18,13,4
"Trans., almac. y comunicaciones (012)",58,,20,29,9,
"Intermediación financiera (013)",1,,1,,,
"Activid.inmobil., empres. y alquileres (014)",37,,13,17,7,
"Admin.pub. y defensa; p. segur.soc.afil (015)",248,,72,106,59,11
"Enseñanza (016)",172,,54,102,15,1
"Servicios sociales y de salud (017)",30,,13,14,3,
"Otras activ. serv.comun.soc y personales (018)",6,,2,2,1,1
"Hogares privados con servicio doméstico (019)",14,1,10,2,,1
"Actividad economica no especificada (021)",102,,34,34,20,14
"Hombres (022)",2550,19,729,824,704,274
"Agric., ganadería, caza y silvicultura (023)",1640,18,405,454,519,244
"Pesca (024)",10,,1,4,4,1
"Industrias manufactureras (026)",45,,19,13,9,4
"Suministro de electricidad, gas y agua (027)",19,,7,5,7,
"Construcción (028)",329,,145,124,56,4
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",74,1,28,24,19,2
"Venta, mant.y rep. veh.autom.y motoc. (030)",6,,4,,2,
"Comercio al por mayor (031)",3,,1,2,,
"Comercio al por menor (032)",65,1,23,22,17,2
"Hoteles y restaurantes (033)",11,,5,1,2,3
"Trans., almac. y comunicaciones (034)",55,,19,27,9,
"Intermediación financiera (035)",1,,1,,,
"Activid.inmobil., empres. y alquileres (036)",26,,8,13,5,
"Admin.pub. y defensa; p. segur.soc.afil (037)",220,,59,96,55,10
"Enseñanza (038)",62,,9,41,11,1
"Servicios sociales y de salud (039)",9,,4,4,1,
"Otras activ. serv.comun.soc y personales (040)",2,,1,,,1
"Hogares privados con servicio doméstico (041)",3,,2,1,,
"Actividad economica no especificada (043)",44,,16,17,7,4
"Mujeres (045)",1513,19,412,503,421,158
