"CUADRO Nº 2: POBLACIÓN DE 12 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",TOTAL,"GRUPOS DE EDAD",,,,,
,,"12 A 16 AÑOS","17 A 24 AÑOS","25 A 34 AÑOS","35 A 44 AÑOS","45 A 54 AÑOS","55 A MÁS AÑOS"
,,,,,,,
"Provincia MAYNAS (000)",357444,60487,81497,73467,56243,40679,45071
"Conviviente (001)",123568,2081,23909,40783,28806,16392,11597
"Separado(a) (002)",10686,114,1260,2118,2575,2237,2382
"Casado(a) (003)",65762,145,2081,10202,16713,16625,19996
"Viudo(a) (004)",9857,28,109,227,604,1294,7595
"Divorciado(a) (005)",1188,,38,100,212,345,493
"Soltero(a) (006)",146383,58119,54100,20037,7333,3786,3008
"Hombres (008)",179449,30158,40905,36314,27787,21090,23195
"Conviviente (009)",59347,540,7875,19784,15155,9226,6767
"Separado(a) (010)",3449,31,178,552,806,828,1054
"Casado(a) (011)",31833,62,599,3952,7369,8320,11531
"Viudo(a) (012)",2604,16,38,59,166,362,1963
"Divorciado(a) (013)",517,,19,38,91,143,226
"Soltero(a) (014)",81699,29509,32196,11929,4200,2211,1654
"Mujeres (016)",177995,30329,40592,37153,28456,19589,21876
"Conviviente (017)",64221,1541,16034,20999,13651,7166,4830
"Separado(a) (018)",7237,83,1082,1566,1769,1409,1328
"Casado(a) (019)",33929,83,1482,6250,9344,8305,8465
"Viudo(a) (020)",7253,12,71,168,438,932,5632
"Divorciado(a) (021)",671,,19,62,121,202,267
"Soltero(a) (022)",64684,28610,21904,8108,3133,1575,1354
,,,,,,,
"URBANA (024)",291955,47557,67538,60858,46156,33606,36240
"Conviviente (025)",94298,1417,17863,31889,22337,12543,8249
"Separado(a) (026)",9400,95,1032,1914,2328,1990,2041
"Casado(a) (027)",55711,118,1708,8627,14266,14346,16646
"Viudo(a) (028)",8155,25,94,174,500,1073,6289
"Divorciado(a) (029)",1110,,32,90,202,330,456
"Soltero(a) (030)",123281,45902,46809,18164,6523,3324,2559
"Hombres (032)",142848,23266,33185,29346,22113,16965,17973
"Conviviente (033)",44668,440,5781,15055,11567,7012,4813
"Separado(a) (034)",2806,30,157,472,673,664,810
"Casado(a) (035)",26674,53,494,3316,6183,7126,9502
"Viudo(a) (036)",1843,15,35,40,114,245,1394
"Divorciado(a) (037)",465,,15,35,83,131,201
"Soltero(a) (038)",66392,22728,26703,10428,3493,1787,1253
"Mujeres (040)",149107,24291,34353,31512,24043,16641,18267
"Conviviente (041)",49630,977,12082,16834,10770,5531,3436
"Separado(a) (042)",6594,65,875,1442,1655,1326,1231
"Casado(a) (043)",29037,65,1214,5311,8083,7220,7144
"Viudo(a) (044)",6312,10,59,134,386,828,4895
"Divorciado(a) (045)",645,,17,55,119,199,255
"Soltero(a) (046)",56889,23174,20106,7736,3030,1537,1306
,,,,,,,
"RURAL (048)",65489,12930,13959,12609,10087,7073,8831
"Conviviente (049)",29270,664,6046,8894,6469,3849,3348
"Separado(a) (050)",1286,19,228,204,247,247,341
"Casado(a) (051)",10051,27,373,1575,2447,2279,3350
"Viudo(a) (052)",1702,3,15,53,104,221,1306
"Divorciado(a) (053)",78,,6,10,10,15,37
"Soltero(a) (054)",23102,12217,7291,1873,810,462,449
"Hombres (056)",36601,6892,7720,6968,5674,4125,5222
"Conviviente (057)",14679,100,2094,4729,3588,2214,1954
"Separado(a) (058)",643,1,21,80,133,164,244
"Casado(a) (059)",5159,9,105,636,1186,1194,2029
"Viudo(a) (060)",761,1,3,19,52,117,569
"Divorciado(a) (061)",52,,4,3,8,12,25
"Soltero(a) (062)",15307,6781,5493,1501,707,424,401
"Mujeres (064)",28888,6038,6239,5641,4413,2948,3609
"Conviviente (065)",14591,564,3952,4165,2881,1635,1394
"Separado(a) (066)",643,18,207,124,114,83,97
"Casado(a) (067)",4892,18,268,939,1261,1085,1321
"Viudo(a) (068)",941,2,12,34,52,104,737
"Divorciado(a) (069)",26,,2,7,2,3,12
"Soltero(a) (070)",7795,5436,1798,372,103,38,48
