"CUADRO Nº 2: VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia CANCHIS (000)",34749,17916,16833
"Casa independiente (001)",28941,14331,14610
"Departamento en edificio (002)",94,94,
"Vivienda en quinta (003)",283,283,
"Vivienda en casa de vecindad (004)",3162,3162,
"Choza o cabaña (005)",2216,,2216
"Vivienda improvisada (006)",30,30,
"Local no dest.para hab. humana (007)",17,11,6
"Otro tipo (008)",6,5,1
