"CUADRO Nº 5: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS QUE SE ENCUENTRAN ACTUALMENTE VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS ACTUALMENTE VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS ACTUALMENTE VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia CONTRALMIRANTE VILLAR (000)",4571,4142,8,982,952,734,786,370,198,112,429,13804
"De 12 a 14 años (001)",7,3,,1,2,,,,,,4,5
"De 15 a 19 años (002)",176,128,1,114,12,,1,,,,48,142
"De 20 a 24 años (003)",603,474,,339,107,22,5,1,,,129,645
"De 25 a 29 años (004)",659,578,2,216,223,99,38,,,,81,1118
"De 30 a 34 años (005)",612,561,,104,216,134,96,8,3,,51,1422
"De 35 a 39 años (006)",522,505,,52,148,147,126,28,3,1,17,1545
"De 40 a 44 años (007)",462,436,,36,94,116,134,39,12,5,26,1558
"De 45 a 49 años (008)",388,365,,29,48,83,116,67,18,4,23,1506
"De 50 y más años (009)",1142,1092,5,91,102,133,270,227,162,102,50,5863
"Conviviente (010)",1634,1536,3,513,413,252,212,80,42,21,98,4110
"De 12 a 14 años (011)",4,1,,1,,,,,,,3,1
"De 15 a 19 años (012)",138,98,1,88,8,,1,,,,40,108
"De 20 a 24 años (013)",350,320,,219,80,16,4,1,,,30,449
"De 25 a 29 años (014)",344,334,2,120,133,56,23,,,,10,649
"De 30 a 34 años (015)",242,239,,35,87,66,46,4,1,,3,638
"De 35 a 39 años (016)",170,168,,12,51,46,47,10,1,1,2,536
"De 40 a 44 años (017)",131,128,,13,28,30,36,13,6,2,3,470
"De 45 a 49 años (018)",90,90,,10,10,19,26,19,6,,,377
"De 50 y más años (019)",165,158,,15,16,19,29,33,28,18,7,882
"Separado(a) (020)",246,239,1,67,58,42,33,25,9,4,7,730
"De 12 a 14 años (021)",2,1,,,1,,,,,,1,2
"De 15 a 19 años (022)",6,4,,4,,,,,,,2,4
"De 20 a 24 años (023)",26,23,,18,3,2,,,,,3,30
