"CUADRO Nº 1: POBLACIÓN TOTAL, POR ÁREA URBANA Y RURAL, Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO Y EDADES SIMPLES",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO Y EDADES SIMPLES",TOTAL,POBLACIÓN,,TOTAL,URBANA,,TOTAL,RURAL,
,,HOMBRES,MUJERES,,HOMBRES,MUJERES,,HOMBRES,MUJERES
,,,,,,,,,
"Provincia HUALGAYOC (000)",89813,43620,46193,20404,10432,9972,69409,33188,36221
"Menores de 1 año (001)",1623,846,777,343,175,168,1280,671,609
"Menores de 1 mes (002)",142,80,62,30,19,11,112,61,51
"De 1 a 11 meses (003)",1481,766,715,313,156,157,1168,610,558
"De 1 a 4 años (004)",7391,3753,3638,1480,739,741,5911,3014,2897
"1 año (005)",1722,860,862,356,170,186,1366,690,676
"2 años (006)",2076,1063,1013,397,207,190,1679,856,823
"3 años (007)",1812,951,861,376,182,194,1436,769,667
"4 años (008)",1781,879,902,351,180,171,1430,699,731
"De 5 a 9 años (009)",9575,4803,4772,1838,932,906,7737,3871,3866
"5 años (010)",1758,888,870,322,153,169,1436,735,701
"6 años (011)",1720,860,860,365,176,189,1355,684,671
"7 años (012)",2083,1051,1032,399,208,191,1684,843,841
"8 años (013)",1984,996,988,371,194,177,1613,802,811
"9 años (014)",2030,1008,1022,381,201,180,1649,807,842
"De 10 a 14 años (015)",11831,6035,5796,2260,1159,1101,9571,4876,4695
"10 años (016)",2373,1156,1217,443,217,226,1930,939,991
"11 años (017)",2413,1266,1147,460,236,224,1953,1030,923
"12 años (018)",2576,1304,1272,485,255,230,2091,1049,1042
"13 años (019)",2162,1093,1069,451,222,229,1711,871,840
"14 años (020)",2307,1216,1091,421,229,192,1886,987,899
"De 15 a 19 años (021)",9299,4477,4822,2002,990,1012,7297,3487,3810
"15 años (022)",2107,1040,1067,431,223,208,1676,817,859
"16 años (023)",1865,886,979,430,205,225,1435,681,754
"17 años (024)",1855,919,936,372,199,173,1483,720,763
"18 años (025)",1827,872,955,378,186,192,1449,686,763
"19 años (026)",1645,760,885,391,177,214,1254,583,671
"De 20 a 24 años (027)",8272,3800,4472,2029,997,1032,6243,2803,3440
"20 años (028)",1859,826,1033,427,200,227,1432,626,806
"21 años (029)",1366,648,718,342,183,159,1024,465,559
"22 años (030)",1713,786,927,412,199,213,1301,587,714
"23 años (031)",1638,748,890,422,206,216,1216,542,674
"24 años (032)",1696,792,904,426,209,217,1270,583,687
"De 25 a 29 años (033)",7013,3280,3733,1855,948,907,5158,2332,2826
"25 años (034)",1553,763,790,384,203,181,1169,560,609
"26 años (035)",1418,633,785,376,191,185,1042,442,600
"27 años (036)",1476,701,775,400,204,196,1076,497,579
"28 años (037)",1411,640,771,382,188,194,1029,452,577
"29 años (038)",1155,543,612,313,162,151,842,381,461
"De 30 a 34 años (039)",6250,2990,3260,1681,874,807,4569,2116,2453
"30 años (040)",1589,764,825,399,208,191,1190,556,634
"31 años (041)",983,467,516,260,132,128,723,335,388
"32 años (042)",1391,676,715,379,201,178,1012,475,537
