"CUADRO Nº 10: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia YAUYOS (000)",12764,8919,903,525,2417
"Hombres (001)",8543,5382,634,436,2091
"Mujeres (002)",4221,3537,269,89,326
"De 06 a 14 años (003)",155,140,13,2,
"Hombres (004)",87,79,8,,
"Mujeres (005)",68,61,5,2,
"De 15 a 29 años (006)",3255,2032,281,170,772
"Hombres (007)",2250,1246,208,145,651
"Mujeres (008)",1005,786,73,25,121
"De 30 a 44 años (009)",4363,2596,377,248,1142
"Hombres (010)",3042,1595,260,199,988
"Mujeres (011)",1321,1001,117,49,154
"De 45 a 64 años (012)",3317,2556,188,96,477
"Hombres (013)",2151,1507,132,83,429
"Mujeres (014)",1166,1049,56,13,48
"De 65 y más años (015)",1674,1595,44,9,26
"Hombres (016)",1013,955,26,9,23
"Mujeres (017)",661,640,18,,3
,,,,,
"URBANA (018)",6618,5024,586,291,717
"Hombres (019)",4024,2969,394,214,447
"Mujeres (020)",2594,2055,192,77,270
"De 06 a 14 años (021)",103,90,11,2,
"Hombres (022)",55,49,6,,
"Mujeres (023)",48,41,5,2,
"De 15 a 29 años (024)",1516,1090,154,95,177
"Hombres (025)",935,666,113,74,82
"Mujeres (026)",581,424,41,21,95
"De 30 a 44 años (027)",2192,1472,247,135,338
"Hombres (028)",1324,864,159,92,209
"Mujeres (029)",868,608,88,43,129
"De 45 a 64 años (030)",1816,1442,142,51,181
"Hombres (031)",1118,841,99,40,138
"Mujeres (032)",698,601,43,11,43
"De 65 y más años (033)",991,930,32,8,21
"Hombres (034)",592,549,17,8,18
"Mujeres (035)",399,381,15,,3
,,,,,
"RURAL (036)",6146,3895,317,234,1700
"Hombres (037)",4519,2413,240,222,1644
"Mujeres (038)",1627,1482,77,12,56
"De 06 a 14 años (039)",52,50,2,,
"Hombres (040)",32,30,2,,
"Mujeres (041)",20,20,,,
"De 15 a 29 años (042)",1739,942,127,75,595
"Hombres (043)",1315,580,95,71,569
"Mujeres (044)",424,362,32,4,26
"De 30 a 44 años (045)",2171,1124,130,113,804
"Hombres (046)",1718,731,101,107,779
"Mujeres (047)",453,393,29,6,25
"De 45 a 64 años (048)",1501,1114,46,45,296
"Hombres (049)",1033,666,33,43,291
"Mujeres (050)",468,448,13,2,5
"De 65 y más años (051)",683,665,12,1,5
"Hombres (052)",421,406,9,1,5
"Mujeres (053)",262,259,3,,
