"CUADRO Nº 3: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 9 AÑOS","10 A 14 AÑOS","15 A 19 AÑOS","20 A 29 AÑOS","30 A 39 AÑOS","40 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia CARAVELI (000)",33910,1401,3094,3484,3140,7238,5958,7443,2152
"Sin nivel (001)",3493,1401,259,42,29,93,298,728,643
"Educación inicial (002)",893,,850,16,7,11,9,,
"Primaria (003)",9673,,1985,2340,298,712,1138,2292,908
"Secundaria (004)",12894,,,1086,2577,4154,2464,2333,280
"Superior no univ. incompleto (005)",1838,,,,123,735,491,423,66
"Superior no univ. completo (006)",2002,,,,,737,614,579,72
"Superior univ. incompleto (007)",1172,,,,106,402,295,316,53
"Superior univ. completo (008)",1945,,,,,394,649,772,130
"Hombres (010)",19290,705,1644,1792,1728,4311,3488,4444,1178
"Sin nivel (011)",1402,705,141,21,11,30,85,207,202
"Educación inicial (012)",466,,447,6,5,7,1,,
"Primaria (013)",5231,,1056,1252,153,342,573,1284,571
"Secundaria (014)",7963,,,513,1458,2598,1593,1614,187
"Superior no univ. incompleto (015)",1140,,,,63,437,315,277,48
"Superior no univ. completo (016)",1157,,,,,441,333,348,35
"Superior univ. incompleto (017)",799,,,,38,241,219,259,42
"Superior univ. completo (018)",1132,,,,,215,369,455,93
"Mujeres (020)",14620,696,1450,1692,1412,2927,2470,2999,974
"Sin nivel (021)",2091,696,118,21,18,63,213,521,441
"Educación inicial (022)",427,,403,10,2,4,8,,
"Primaria (023)",4442,,929,1088,145,370,565,1008,337
"Secundaria (024)",4931,,,573,1119,1556,871,719,93
"Superior no univ. incompleto (025)",698,,,,60,298,176,146,18
"Superior no univ. completo (026)",845,,,,,296,281,231,37
"Superior univ. incompleto (027)",373,,,,68,161,76,57,11
"Superior univ. completo (028)",813,,,,,179,280,317,37
,,,,,,,,,
"URBANA (030)",21838,954,2158,2584,1999,3913,3800,4988,1442
"Sin nivel (031)",2098,954,137,38,17,48,172,390,342
"Educación inicial (032)",661,,628,10,6,9,8,,
"Primaria (033)",6105,,1393,1708,158,309,614,1308,615
"Secundaria (034)",7865,,,828,1659,2044,1490,1624,220
"Superior no univ. incompleto (035)",1209,,,,78,447,330,316,38
"Superior no univ. completo (036)",1499,,,,,505,454,474,66
"Superior univ. incompleto (037)",837,,,,81,271,214,225,46
"Superior univ. completo (038)",1564,,,,,280,518,651,115
"Hombres (040)",11556,475,1154,1318,1014,2026,1983,2823,763
"Sin nivel (041)",802,475,77,21,5,15,36,84,89
"Educación inicial (042)",355,,338,5,5,6,1,,
"Primaria (043)",3133,,739,911,71,134,256,667,355
"Secundaria (044)",4385,,,381,877,1081,848,1054,144
"Superior no univ. incompleto (045)",674,,,,28,245,185,191,25
"Superior no univ. completo (046)",810,,,,,280,223,276,31
"Superior univ. incompleto (047)",519,,,,28,130,149,177,35
"Superior univ. completo (048)",878,,,,,135,285,374,84
"Mujeres (050)",10282,479,1004,1266,985,1887,1817,2165,679
"Sin nivel (051)",1296,479,60,17,12,33,136,306,253
"Educación inicial (052)",306,,290,5,1,3,7,,
"Primaria (053)",2972,,654,797,87,175,358,641,260
"Secundaria (054)",3480,,,447,782,963,642,570,76
"Superior no univ. incompleto (055)",535,,,,50,202,145,125,13
"Superior no univ. completo (056)",689,,,,,225,231,198,35
"Superior univ. incompleto (057)",318,,,,53,141,65,48,11
"Superior univ. completo (058)",686,,,,,145,233,277,31
,,,,,,,,,
"RURAL (060)",12072,447,936,900,1141,3325,2158,2455,710
"Sin nivel (061)",1395,447,122,4,12,45,126,338,301
"Educación inicial (062)",232,,222,6,1,2,1,,
"Primaria (063)",3568,,592,632,140,403,524,984,293
"Secundaria (064)",5029,,,258,918,2110,974,709,60
"Superior no univ. incompleto (065)",629,,,,45,288,161,107,28
"Superior no univ. completo (066)",503,,,,,232,160,105,6
"Superior univ. incompleto (067)",335,,,,25,131,81,91,7
"Superior univ. completo (068)",381,,,,,114,131,121,15
"Hombres (070)",7734,230,490,474,714,2285,1505,1621,415
"Sin nivel (071)",600,230,64,,6,15,49,123,113
"Educación inicial (072)",111,,109,1,,1,,,
"Primaria (073)",2098,,317,341,82,208,317,617,216
"Secundaria (074)",3578,,,132,581,1517,745,560,43
"Superior no univ. incompleto (075)",466,,,,35,192,130,86,23
"Superior no univ. completo (076)",347,,,,,161,110,72,4
"Superior univ. incompleto (077)",280,,,,10,111,70,82,7
"Superior univ. completo (078)",254,,,,,80,84,81,9
"Mujeres (080)",4338,217,446,426,427,1040,653,834,295
"Sin nivel (081)",795,217,58,4,6,30,77,215,188
"Educación inicial (082)",121,,113,5,1,1,1,,
"Primaria (083)",1470,,275,291,58,195,207,367,77
"Secundaria (084)",1451,,,126,337,593,229,149,17
"Superior no univ. incompleto (085)",163,,,,10,96,31,21,5
"Superior no univ. completo (086)",156,,,,,71,50,33,2
"Superior univ. incompleto (087)",55,,,,15,20,11,9,
"Superior univ. completo (088)",127,,,,,34,47,40,6
