"CUADRO Nº 17: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"CATEGORIA DE OCUPACION",,,,,
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR"
,,,,,,,
"Provincia AYABACA (000)",35768,2895,2980,22157,263,7078,395
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",41,41,,,,,
"Profes., científicos e intelectuales (002)",1632,1513,,114,2,3,
"Técnicos de nivel medio y trab. asimilados (003)",374,291,,67,8,8,
"Jefes y empleados de oficina (004)",381,380,,,,1,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",1619,182,17,1159,29,232,
"Agricult.trabaj.calif.agrop.y pesqueros (006)",19110,8,3,18895,195,9,
"Obreros y oper.minas,cant.,ind.manuf.y otros (007)",805,,198,502,14,91,
"Obreros construc.,conf.,papel, fab., instr. (008)",763,74,262,391,10,26,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (009)",9793,226,2360,612,4,6196,395
"Otra (010)",88,88,,,,,
"Ocupación no especificada (011)",1162,92,140,417,1,512,
"Hombres (012)",30891,1504,2787,20284,234,6065,17
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (013)",32,32,,,,,
"Profes., científicos e intelectuales (014)",742,690,,48,2,2,
"Técnicos de nivel medio y trab. asimilados (015)",231,164,,58,4,5,
"Jefes y empleados de oficina (016)",198,197,,,,1,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (017)",781,91,7,606,11,66,
"Agricult.trabaj.calif.agrop.y pesqueros (018)",18576,8,3,18367,190,8,
"Obreros y oper.minas,cant.,ind.manuf.y otros (019)",613,,173,365,14,61,
"Obreros construc.,conf.,papel, fab., instr. (020)",752,73,260,387,10,22,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (021)",8477,130,2229,352,3,5746,17
"Otra (022)",85,85,,,,,
"Ocupación no especificada (023)",404,34,115,101,,154,
"Mujeres (024)",4877,1391,193,1873,29,1013,378
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (025)",9,9,,,,,
"Profes., científicos e intelectuales (026)",890,823,,66,,1,
"Técnicos de nivel medio y trab. asimilados (027)",143,127,,9,4,3,
"Jefes y empleados de oficina (028)",183,183,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (029)",838,91,10,553,18,166,
"Agricult.trabaj.calif.agrop.y pesqueros (030)",534,,,528,5,1,
"Obreros y oper.minas,cant.,ind.manuf.y otros (031)",192,,25,137,,30,
"Obreros construc.,conf.,papel, fab., instr. (032)",11,1,2,4,,4,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (033)",1316,96,131,260,1,450,378
"Otra (034)",3,3,,,,,
"Ocupación no especificada (035)",758,58,25,316,1,358,
,,,,,,,
"URBANA (036)",5694,1909,624,2494,57,435,175
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (037)",24,24,,,,,
"Profes., científicos e intelectuales (038)",985,911,,72,1,1,
"Técnicos de nivel medio y trab. asimilados (039)",242,188,,48,3,3,
"Jefes y empleados de oficina (040)",312,311,,,,1,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (041)",1089,126,9,780,23,151,
"Agricult.trabaj.calif.agrop.y pesqueros (042)",793,,1,776,15,1,
"Obreros y oper.minas,cant.,ind.manuf.y otros (043)",234,,59,165,7,3,
"Obreros construc.,conf.,papel, fab., instr. (044)",370,57,109,195,5,4,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (045)",1281,172,337,357,3,237,175
"Otra (046)",81,81,,,,,
"Ocupación no especificada (047)",283,39,109,101,,34,
"Hombres (048)",3660,1018,578,1778,39,241,6
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (049)",17,17,,,,,
"Profes., científicos e intelectuales (050)",454,421,,31,1,1,
"Técnicos de nivel medio y trab. asimilados (051)",152,107,,42,1,2,
"Jefes y empleados de oficina (052)",159,158,,,,1,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (053)",512,62,3,401,9,37,
"Agricult.trabaj.calif.agrop.y pesqueros (054)",757,,1,741,14,1,
"Obreros y oper.minas,cant.,ind.manuf.y otros (055)",205,,56,140,7,2,
"Obreros construc.,conf.,papel, fab., instr. (056)",364,57,108,193,5,1,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (057)",789,100,309,182,2,190,6
"Otra (058)",78,78,,,,,
"Ocupación no especificada (059)",173,18,101,48,,6,
"Mujeres (060)",2034,891,46,716,18,194,169
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (061)",7,7,,,,,
"Profes., científicos e intelectuales (062)",531,490,,41,,,
"Técnicos de nivel medio y trab. asimilados (063)",90,81,,6,2,1,
"Jefes y empleados de oficina (064)",153,153,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (065)",577,64,6,379,14,114,
"Agricult.trabaj.calif.agrop.y pesqueros (066)",36,,,35,1,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (067)",29,,3,25,,1,
"Obreros construc.,conf.,papel, fab., instr. (068)",6,,1,2,,3,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (069)",492,72,28,175,1,47,169
"Otra (070)",3,3,,,,,
"Ocupación no especificada (071)",110,21,8,53,,28,
,,,,,,,
"RURAL (072)",30074,986,2356,19663,206,6643,220
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (073)",17,17,,,,,
"Profes., científicos e intelectuales (074)",647,602,,42,1,2,
"Técnicos de nivel medio y trab. asimilados (075)",132,103,,19,5,5,
"Jefes y empleados de oficina (076)",69,69,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (077)",530,56,8,379,6,81,
"Agricult.trabaj.calif.agrop.y pesqueros (078)",18317,8,2,18119,180,8,
"Obreros y oper.minas,cant.,ind.manuf.y otros (079)",571,,139,337,7,88,
"Obreros construc.,conf.,papel, fab., instr. (080)",393,17,153,196,5,22,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (081)",8512,54,2023,255,1,5959,220
"Otra (082)",7,7,,,,,
"Ocupación no especificada (083)",879,53,31,316,1,478,
"Hombres (084)",27231,486,2209,18506,195,5824,11
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (085)",15,15,,,,,
"Profes., científicos e intelectuales (086)",288,269,,17,1,1,
"Técnicos de nivel medio y trab. asimilados (087)",79,57,,16,3,3,
"Jefes y empleados de oficina (088)",39,39,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (089)",269,29,4,205,2,29,
"Agricult.trabaj.calif.agrop.y pesqueros (090)",17819,8,2,17626,176,7,
"Obreros y oper.minas,cant.,ind.manuf.y otros (091)",408,,117,225,7,59,
"Obreros construc.,conf.,papel, fab., instr. (092)",388,16,152,194,5,21,
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (093)",7688,30,1920,170,1,5556,11
"Otra (094)",7,7,,,,,
"Ocupación no especificada (095)",231,16,14,53,,148,
"Mujeres (096)",2843,500,147,1157,11,819,209
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (097)",2,2,,,,,
"Profes., científicos e intelectuales (098)",359,333,,25,,1,
