"CUADRO Nº 1: POBLACIÓN TOTAL, POR ÁREA URBANA Y RURAL, Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO Y EDADES SIMPLES",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO Y EDADES SIMPLES",TOTAL,POBLACIÓN,,TOTAL,URBANA,,TOTAL,RURAL,
,,HOMBRES,MUJERES,,HOMBRES,MUJERES,,HOMBRES,MUJERES
,,,,,,,,,
"Provincia SAN MIGUEL (000)",56146,27819,28327,9072,4564,4508,47074,23255,23819
"Menores de 1 año (001)",914,501,413,146,82,64,768,419,349
"Menores de 1 mes (002)",58,25,33,9,,9,49,25,24
"De 1 a 11 meses (003)",856,476,380,137,82,55,719,394,325
"De 1 a 4 años (004)",4403,2279,2124,637,349,288,3766,1930,1836
"1 año (005)",981,532,449,131,64,67,850,468,382
"2 años (006)",1217,630,587,170,103,67,1047,527,520
"3 años (007)",1179,588,591,172,90,82,1007,498,509
"4 años (008)",1026,529,497,164,92,72,862,437,425
"De 5 a 9 años (009)",5523,2792,2731,824,411,413,4699,2381,2318
"5 años (010)",1038,542,496,136,69,67,902,473,429
"6 años (011)",1039,515,524,166,78,88,873,437,436
"7 años (012)",1154,586,568,178,96,82,976,490,486
"8 años (013)",1149,597,552,168,79,89,981,518,463
"9 años (014)",1143,552,591,176,89,87,967,463,504
"De 10 a 14 años (015)",6645,3442,3203,936,480,456,5709,2962,2747
"10 años (016)",1266,661,605,182,90,92,1084,571,513
"11 años (017)",1204,597,607,152,67,85,1052,530,522
"12 años (018)",1448,738,710,224,120,104,1224,618,606
"13 años (019)",1369,731,638,186,103,83,1183,628,555
"14 años (020)",1358,715,643,192,100,92,1166,615,551
"De 15 a 19 años (021)",5317,2801,2516,824,463,361,4493,2338,2155
"15 años (022)",1295,657,638,228,132,96,1067,525,542
"16 años (023)",1162,614,548,187,101,86,975,513,462
"17 años (024)",1041,576,465,169,98,71,872,478,394
"18 años (025)",1007,535,472,133,77,56,874,458,416
"19 años (026)",812,419,393,107,55,52,705,364,341
"De 20 a 24 años (027)",4185,2060,2125,615,297,318,3570,1763,1807
"20 años (028)",889,450,439,125,66,59,764,384,380
"21 años (029)",705,343,362,90,50,40,615,293,322
"22 años (030)",885,438,447,126,61,65,759,377,382
"23 años (031)",850,397,453,143,58,85,707,339,368
"24 años (032)",856,432,424,131,62,69,725,370,355
"De 25 a 29 años (033)",3961,1924,2037,669,314,355,3292,1610,1682
"25 años (034)",768,383,385,131,62,69,637,321,316
"26 años (035)",751,350,401,126,53,73,625,297,328
"27 años (036)",858,416,442,124,57,67,734,359,375
"28 años (037)",849,396,453,146,72,74,703,324,379
"29 años (038)",735,379,356,142,70,72,593,309,284
"De 30 a 34 años (039)",3772,1820,1952,689,327,362,3083,1493,1590
"30 años (040)",957,481,476,169,81,88,788,400,388
"31 años (041)",598,280,318,120,59,61,478,221,257
"32 años (042)",785,383,402,145,69,76,640,314,326
"33 años (043)",724,349,375,137,65,72,587,284,303
"34 años (044)",708,327,381,118,53,65,590,274,316
