"CUADRO Nº 3: POBLACIÓN TOTAL EN VIVIENDAS PARTICULARES, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y TIPO DE VIVIENDA PARTICULAR",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL Y TIPO DE VIVIENDA PARTICULAR",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia PURUS (000)",3527,118,1404,963,652,309,81
"Casa independiente (001)",3479,116,1390,949,638,305,81
"Choza o cabaña (005)",5,,,2,2,1,
"Vivienda improvisada (006)",20,2,9,5,3,1,
"Local no destinado para hab.humana (007)",23,,5,7,9,2,
,,,,,,,
"URBANA (009)",1069,31,365,304,246,104,19
"Casa independiente (010)",1037,29,352,295,241,101,19
"Vivienda improvisada (015)",20,2,9,5,3,1,
"Local no destinado para hab.humana (016)",12,,4,4,2,2,
,,,,,,,
"RURAL (018)",2458,87,1039,659,406,205,62
"Casa independiente (019)",2442,87,1038,654,397,204,62
"Choza o cabaña (023)",5,,,2,2,1,
"Local no destinado para hab.humana (025)",11,,1,3,7,,
