"CUADRO Nº 6: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES Y TOTAL DE OCUPANTES PRESENTES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",TOTAL,,URBANA,,RURAL,
,"VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES"
,,,,,,
"Provincia TARMA (000)",26987,111056,16928,71545,10059,39511
"Casa independiente (001)",25655,105200,15818,66462,9837,38738
"Departamento en edificio (002)",236,1056,236,1056,,
"Vivienda en quinta (003)",512,2355,512,2355,,
"Vivienda en casa de vecindad (004)",319,1539,319,1539,,
"Choza o cabaña (005)",219,757,,,219,757
"Vivienda improvisada (006)",6,11,6,11,,
"Local no dest.para hab. humana (007)",35,126,33,117,2,9
"Otro tipo (008)",5,12,4,5,1,7
