"CUADRO Nº 5: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS QUE SE ENCUENTRAN ACTUALMENTE VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS ACTUALMENTE VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS ACTUALMENTE VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia YUNGUYO (000)",12723,12154,51,2041,2244,2058,3114,1861,675,110,569,45251
"De 12 a 14 años (001)",12,4,,4,,,,,,,8,4
"De 15 a 19 años (002)",195,166,2,142,14,4,4,,,,29,198
"De 20 a 24 años (003)",899,721,4,454,184,58,20,1,,,178,1087
"De 25 a 29 años (004)",1275,1103,4,410,368,208,108,5,,,172,2255
"De 30 a 34 años (005)",1385,1321,6,230,425,321,278,49,12,,64,3651
"De 35 a 39 años (006)",1455,1410,2,182,364,331,381,126,24,,45,4577
"De 40 a 44 años (007)",1183,1162,5,118,199,233,359,174,64,10,21,4569
"De 45 a 49 años (008)",1111,1097,2,89,153,179,338,226,96,14,14,4847
"De 50 y más años (009)",5208,5170,26,412,537,724,1626,1280,479,86,38,24063
"Conviviente (010)",1919,1818,13,702,488,264,228,92,26,5,101,4337
"De 12 a 14 años (011)",8,2,,2,,,,,,,6,2
"De 15 a 19 años (012)",129,104,1,91,8,2,2,,,,25,121
"De 20 a 24 años (013)",423,385,2,264,88,24,6,1,,,38,546
"De 25 a 29 años (014)",409,394,2,171,139,54,26,2,,,15,734
"De 30 a 34 años (015)",322,313,3,76,118,61,45,8,2,,9,754
"De 35 a 39 años (016)",231,227,1,41,70,53,47,14,1,,4,646
"De 40 a 44 años (017)",115,112,1,21,24,26,28,9,3,,3,353
"De 45 a 49 años (018)",81,81,1,8,18,12,18,18,6,,,327
"De 50 y más años (019)",201,200,2,28,23,32,56,40,14,5,1,854
"Separado(a) (020)",404,401,3,147,99,53,62,28,9,,3,1029
"De 15 a 19 años (022)",7,6,,6,,,,,,,1,6
"De 20 a 24 años (023)",31,31,,28,3,,,,,,,34
"De 25 a 29 años (024)",43,42,,29,8,5,,,,,1,60
