"CUADRO Nº 1: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS NACIDOS VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia TARATA (000)",3074,2971,697,471,464,347,491,278,144,79,103,8469
"De 12 a 14 años (001)",195,194,194,,,,,,,,1,
"De 15 a 19 años (002)",301,296,242,47,6,1,,,,,5,62
"De 20 a 24 años (003)",305,279,113,112,42,10,2,,,,26,234
"De 25 a 29 años (004)",290,256,40,104,68,33,9,1,1,,34,393
"De 30 a 34 años (005)",248,233,16,58,97,36,20,5,1,,15,486
"De 35 a 39 años (006)",250,242,12,42,80,48,49,9,2,,8,628
"De 40 a 44 años (007)",228,225,14,26,50,55,52,20,7,1,3,709
"De 45 a 49 años (008)",218,215,15,19,36,39,60,32,10,4,3,805
"De 50 y más años (009)",1039,1031,51,63,85,125,299,211,123,74,8,5152
"Sin nivel (010)",398,392,22,32,35,43,100,79,46,35,6,1970
"De 15 a 19 años (012)",3,3,2,1,,,,,,,,1
"De 20 a 24 años (013)",5,4,3,1,,,,,,,1,1
"De 25 a 29 años (014)",9,9,,,7,1,1,,,,,22
"De 30 a 34 años (015)",7,7,1,1,4,,1,,,,,14
"De 35 a 39 años (016)",19,18,1,2,5,1,5,3,1,,1,64
"De 40 a 44 años (017)",23,22,,8,2,2,7,3,,,1,67
"De 45 a 49 años (018)",20,20,,,,6,6,3,2,3,,111
"De 50 y más años (019)",312,309,15,19,17,33,80,70,43,32,3,1690
"Educacion Inicial (020)",2,2,,1,1,,,,,,,3
"De 25 a 29 años (024)",1,1,,1,,,,,,,,1
"De 30 a 34 años (025)",1,1,,,1,,,,,,,2
"Primaria (030)",1183,1170,147,91,177,179,280,167,88,41,13,4474
"De 12 a 14 años (031)",67,67,67,,,,,,,,,
"De 15 a 19 años (032)",35,35,22,10,3,,,,,,,16
