"CUADRO Nº 4: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 6 Y MÁS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia LA MAR (000)",27806,911,9965,9497,5845,1588
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",28,,3,17,8,
"Profes., científicos e intelectuales (002)",1221,,337,665,216,3
"Técnicos de nivel medio y trab.asimilados (003)",310,1,129,129,46,5
"Jefes y empleados de oficina (004)",222,,102,84,33,3
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",1994,56,675,744,436,83
"Agricult.trabaj. calif. agrop. y pesqueros (006)",12492,73,3295,4625,3358,1141
"Obreros y oper.minas, cant.,ind.manuf. y otros (007)",407,6,156,156,71,18
"Obreros construc., conf., papel, fab., instr. (008)",737,2,323,272,132,8
"Trabaj. no calif.serv.,peon, vend,amb.,y afines (009)",8235,720,3997,2104,1186,228
"Otra (010)",86,,20,54,11,1
"Ocupación no especificada (011)",826,13,303,273,180,57
"Desocupado (012)",1248,40,625,374,168,41
"Hombres (013)",20124,598,7243,6855,4210,1218
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (014)",24,,1,15,8,
"Profes., científicos e intelectuales (015)",700,,155,384,158,3
"Técnicos de nivel medio y trab.asimilados (016)",221,1,83,98,35,4
"Jefes y empleados de oficina (017)",151,,58,61,29,3
"Trab.de serv.pers.y vend.del comerc.y mcdo. (018)",731,23,244,260,166,38
"Agricult.trabaj. calif. agrop. y pesqueros (019)",11078,56,2938,4181,2906,997
"Obreros y oper.minas, cant.,ind.manuf. y otros (020)",360,6,139,136,63,16
"Obreros construc., conf., papel, fab., instr. (021)",729,2,319,271,129,8
"Trabaj. no calif.serv.,peon, vend,amb.,y afines (022)",4818,479,2706,1020,516,97
"Otra (023)",86,,20,54,11,1
"Ocupación no especificada (024)",330,9,146,97,59,19
"Desocupado (025)",896,22,434,278,130,32
"Mujeres (026)",7682,313,2722,2642,1635,370
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (027)",4,,2,2,,
"Profes., científicos e intelectuales (028)",521,,182,281,58,
"Técnicos de nivel medio y trab.asimilados (029)",89,,46,31,11,1
"Jefes y empleados de oficina (030)",71,,44,23,4,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (031)",1263,33,431,484,270,45
"Agricult.trabaj. calif. agrop. y pesqueros (032)",1414,17,357,444,452,144
"Obreros y oper.minas, cant.,ind.manuf. y otros (033)",47,,17,20,8,2
