"CUADRO Nº 12: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia SANTA CRUZ (000)",11122,9427,643,250,802
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",29,,3,,26
"Profes., científicos e intelectuales (002)",1084,292,284,150,358
"Técnicos de nivel medio y trab. asimilados (003)",143,60,8,11,64
"Jefes y empleados de oficina (004)",181,26,17,20,118
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",528,493,12,5,18
"Agricult.trabaj.calif.agrop.y pesqueros (006)",4508,4413,95,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (007)",272,262,6,2,2
"Obreros construc.,conf.,papel, fab., instr. (008)",336,251,40,28,17
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (009)",3586,3278,149,26,133
"Otra (010)",55,,,,55
"Ocupación no especificada (011)",400,352,29,8,11
"Hombres (012)",8870,7750,477,168,475
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (013)",25,,2,,23
"Profes., científicos e intelectuales (014)",575,113,177,88,197
"Técnicos de nivel medio y trab. asimilados (015)",80,37,6,8,29
"Jefes y empleados de oficina (016)",106,11,9,10,76
"Trab.de serv.pers.y vend.del comerc.y mcdo. (017)",243,222,4,4,13
"Agricult.trabaj.calif.agrop.y pesqueros (018)",4363,4271,92,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (019)",231,222,5,2,2
"Obreros construc.,conf.,papel, fab., instr. (020)",327,244,39,28,16
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (021)",2734,2527,128,22,57
"Otra (022)",55,,,,55
"Ocupación no especificada (023)",131,103,15,6,7
"Mujeres (024)",2252,1677,166,82,327
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (025)",4,,1,,3
"Profes., científicos e intelectuales (026)",509,179,107,62,161
"Técnicos de nivel medio y trab. asimilados (027)",63,23,2,3,35
"Jefes y empleados de oficina (028)",75,15,8,10,42
"Trab.de serv.pers.y vend.del comerc.y mcdo. (029)",285,271,8,1,5
"Agricult.trabaj.calif.agrop.y pesqueros (030)",145,142,3,,
"Obreros y oper.minas,cant.,ind.manuf.y otros (031)",41,40,1,,
"Obreros construc.,conf.,papel, fab., instr. (032)",9,7,1,,1
"Trabaj.no calif.serv.,peon,vend.,amb., y afines (033)",852,751,21,4,76
