"CUADRO Nº 3: POBLACIÓN DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ACTIVIDAD ECONÓMICA",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia CAÑETE (000)",176194,37052,54078,41092,30199,13773
"Sin nivel (001)",6579,460,423,1142,2117,2437
"Educación inicial (002)",2526,2389,88,49,,
"Primaria (003)",53715,25927,3762,6356,9988,7682
"Secundaria (004)",70629,8276,31313,18879,10154,2007
"Superior no univ. incompleta (005)",11797,,6977,3187,1398,235
"Superior no univ. completa (006)",14464,,5164,5918,2792,590
"Superior univ. incompleta (007)",7140,,4256,1710,992,182
"Superior univ. completa (008)",9344,,2095,3851,2758,640
"PEA (010)",85642,970,28893,30850,20716,4213
"Sin nivel (011)",2250,13,157,649,1005,426
"Educación inicial (012)",59,6,28,25,,
"Primaria (013)",15457,472,2119,4197,6158,2511
"Secundaria (014)",38702,479,16037,14068,7417,701
"Superior no univ. incompleta (015)",7056,,3444,2448,1071,93
"Superior no univ. completa (016)",10782,,3792,4753,2060,177
"Superior univ. incompleta (017)",4012,,1751,1388,796,77
"Superior univ. completa (018)",7324,,1565,3322,2209,228
"Ocupada (020)",82659,934,27334,30018,20267,4106
"Sin nivel (021)",2181,8,150,633,981,409
"Educación inicial (022)",59,6,28,25,,
"Primaria (023)",14963,456,1991,4056,6011,2449
"Secundaria (024)",37216,464,15158,13677,7228,689
"Superior no univ. incompleta (025)",6813,,3279,2393,1049,92
"Superior no univ. completa (026)",10431,,3593,4638,2029,171
"Superior univ. incompleta (027)",3888,,1676,1352,785,75
