"CUADRO Nº 32: POBLACIÓN OCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR OCUPACIÓN PRINCIPAL, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"OCUPACION PRINCIPAL",,,,,,,,,,
,,"MIEMBROS PODER EJEC. Y LEGIS., DIRECT. ADM., PUB.Y EMP.","PROFES., CIENTÍFI-COS E INTELEC-TUALES","TÉCNICOS DE NIVEL MEDIO Y TRABAJ. ASIMIL","JEFES Y EMPLEA-DOS DE OFICINA","TRAB. DE. SERV. PERS. Y VEND. DEL COMERCIO Y MCDO.","AGRICULT. TRABAJ. CALIFICA-DO., AGROP. Y PESQUE-ROS.","OBREROS Y OPER. MINAS, CANTERAS, IND. MANUF. Y OTROS","OBR. CONST. CONF. PAPEL Y CARTÓN, FAB. INSTR. MUSI-CALES. Y AFINES","TRABAJ. NO CALIF. SERV. PEON, VEND. AMBU-LANTE Y AFINES",OTRA,"OCUPA-CIÓN NO ESPECI-FICADA"
,,,,,,,,,,,,
"Provincia AREQUIPA (000)",339078,1065,48861,28359,20518,60500,10499,40547,42336,74774,4767,6852
"Agric., ganadería, caza y silvicultura (001)",28218,8,345,316,98,,10442,46,137,16826,,
"Pesca (002)",201,,24,12,14,,57,3,4,87,,
"Explotación de minas y canteras (003)",4840,12,880,683,324,19,,1965,346,611,,
"Industrias manufactureras (004)",37600,67,1444,2688,1233,183,,27681,3280,1024,,
"Suministro de electricidad, gas y agua (005)",995,1,185,170,174,,,182,115,168,,
"Construcción (006)",22827,27,1303,1129,207,,,1731,13230,5200,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",76450,99,1784,5341,1419,44912,,7954,907,14034,,
"Venta, mant.y rep. veh.autom.y motoc. (008)",9496,28,288,695,195,1590,,6113,329,258,,
"Comercio al por mayor (009)",5134,27,366,970,415,2839,,24,135,358,,
"Comercio al por menor (010)",61820,44,1130,3676,809,40483,,1817,443,13418,,
"Hoteles y restaurantes (011)",17986,43,333,1114,1096,9231,,26,26,6117,,
"Trans., almac. y comunicaciones (012)",35091,73,708,1805,2238,363,,223,23010,6671,,
"Intermediación financiera (013)",3001,33,413,778,1691,,,5,4,77,,
