"CUADRO Nº 32: POBLACIÓN OCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR OCUPACIÓN PRINCIPAL, SEGÚN DEPARTAMENTO, PROVINCIA Y DISTRITO, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"OCUPACION PRINCIPAL",,,,,,,,,,
,,"MIEMBROS PODER EJEC. Y LEGIS., DIRECT. ADM., PUB.Y EMP.","PROFES., CIENTÍFI-COS E INTELEC-TUALES","TÉCNICOS DE NIVEL MEDIO Y TRABAJ. ASIMIL","JEFES Y EMPLEA-DOS DE OFICINA","TRAB. DE. SERV. PERS. Y VEND. DEL COMERCIO Y MCDO.","AGRICULT. TRABAJ. CALIFICA-DO., AGROP. Y PESQUE-ROS.","OBREROS Y OPER. MINAS, CANTERAS, IND. MANUF. Y OTROS","OBR. CONST. CONF. PAPEL Y CARTÓN, FAB. INSTR. MUSI-CALES. Y AFINES","TRABAJ. NO CALIF. SERV. PEON, VEND. AMBU-LANTE Y AFINES",OTRA,"OCUPA-CIÓN NO ESPECI-FICADA"
,,,,,,,,,,,,
"Provincia MAYNAS (000)",165859,396,15476,8846,8756,28323,21574,14270,18165,41167,2019,6867
"Agric., ganadería, caza y silvicultura (001)",34021,7,101,116,20,1,21083,24,28,12641,,
"Pesca (002)",1743,3,8,7,1,,491,,18,1215,,
"Explotación de minas y canteras (003)",620,6,71,68,68,1,,304,29,73,,
"Industrias manufactureras (004)",11857,8,159,466,204,55,,9455,1043,467,,
"Suministro de electricidad, gas y agua (005)",433,1,31,65,86,,,70,29,151,,
"Construcción (006)",8589,5,264,390,85,,,784,5354,1707,,
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",34461,37,276,1445,501,20725,,3289,316,7872,,
"Venta, mant.y rep. veh.autom.y motoc. (008)",3512,8,49,185,57,566,,2376,145,126,,
"Comercio al por mayor (009)",1758,8,45,247,107,1185,,3,29,134,,
"Comercio al por menor (010)",29191,21,182,1013,337,18974,,910,142,7612,,
"Hoteles y restaurantes (011)",10097,6,84,252,296,5231,,14,10,4204,,
"Trans., almac. y comunicaciones (012)",15675,24,145,587,940,233,,113,11058,2575,,
"Intermediación financiera (013)",728,11,55,171,461,,,1,1,28,,
"Activid.inmobil., empres. y alquileres (014)",7181,11,1675,1972,1421,1052,,49,112,889,,
