"CUADRO Nº 8: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ALFABETISMO",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ALFABETISMO",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 9 AÑOS","10 A 14 AÑOS","15 A 19 AÑOS","20 A 29 AÑOS","30 A 39 AÑOS","40 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia REQUENA (000)",59125,4106,8197,9139,7213,9688,7607,10503,2672
"Sabe leer y escribir (001)",49388,,4425,8901,7135,9543,7422,9836,2126
"No sabe leer y escribir (002)",9737,4106,3772,238,78,145,185,667,546
"Hombres (004)",31118,2085,4189,4791,3737,4828,3944,5963,1581
"Sabe leer y escribir (005)",26465,,2242,4652,3698,4785,3887,5773,1428
"No sabe leer y escribir (006)",4653,2085,1947,139,39,43,57,190,153
"Mujeres (008)",28007,2021,4008,4348,3476,4860,3663,4540,1091
"Sabe leer y escribir (009)",22923,,2183,4249,3437,4758,3535,4063,698
"No sabe leer y escribir (010)",5084,2021,1825,99,39,102,128,477,393
,,,,,,,,,
"URBANA (012)",34187,2118,4418,5370,4517,5566,4506,6184,1508
"Sabe leer y escribir (013)",29614,,2718,5294,4481,5501,4437,5939,1244
"No sabe leer y escribir (014)",4573,2118,1700,76,36,65,69,245,264
"Hombres (016)",17688,1072,2285,2789,2356,2696,2215,3419,856
"Sabe leer y escribir (017)",15506,,1399,2746,2337,2677,2191,3364,792
"No sabe leer y escribir (018)",2182,1072,886,43,19,19,24,55,64
"Mujeres (020)",16499,1046,2133,2581,2161,2870,2291,2765,652
"Sabe leer y escribir (021)",14108,,1319,2548,2144,2824,2246,2575,452
"No sabe leer y escribir (022)",2391,1046,814,33,17,46,45,190,200
,,,,,,,,,
"RURAL (024)",24938,1988,3779,3769,2696,4122,3101,4319,1164
"Sabe leer y escribir (025)",19774,,1707,3607,2654,4042,2985,3897,882
"No sabe leer y escribir (026)",5164,1988,2072,162,42,80,116,422,282
"Hombres (028)",13430,1013,1904,2002,1381,2132,1729,2544,725
"Sabe leer y escribir (029)",10959,,843,1906,1361,2108,1696,2409,636
"No sabe leer y escribir (030)",2471,1013,1061,96,20,24,33,135,89
"Mujeres (032)",11508,975,1875,1767,1315,1990,1372,1775,439
"Sabe leer y escribir (033)",8815,,864,1701,1293,1934,1289,1488,246
"No sabe leer y escribir (034)",2693,975,1011,66,22,56,83,287,193
