"CUADRO Nº 12: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR AÑO EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",TOTAL,"GRUPO DE AÑOS EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO",,,,,,"NO ESPECIFICADO"
"De 15 a 19 años (062)",30,,,,,,15,15
"De 20 a 24 años (063)",132,,,,,,83,49
"De 25 a 29 años (064)",168,,,,,8,108,52
"De 30 a 34 años (065)",183,,,,,29,107,47
"De 35 a 39 años (066)",188,,,,2,52,104,30
"De 40 a 44 años (067)",166,,,,5,64,58,39
"De 45 a 49 años (068)",103,,,,9,51,21,22
"De 50 y más años (069)",580,13,65,104,155,93,5,145
"PEA (070)",675,,9,23,62,154,250,177
"De 12 a 14 años (071)",2,,,,,,1,1
"De 15 a 19 años (072)",7,,,,,,3,4
"De 20 a 24 años (073)",44,,,,,,26,18
"De 25 a 29 años (074)",87,,,,,6,51,30
"De 30 a 34 años (075)",106,,,,,17,63,26
"De 35 a 39 años (076)",104,,,,1,24,59,20
"De 40 a 44 años (077)",106,,,,5,39,35,27
"De 45 a 49 años (078)",57,,,,6,25,11,15
"De 50 y más años (079)",162,,9,23,50,43,1,36
"Ocupada (080)",659,,9,23,61,154,242,170
"De 12 a 14 años (081)",2,,,,,,1,1
"De 15 a 19 años (082)",6,,,,,,3,3
"De 20 a 24 años (083)",41,,,,,,26,15
"De 25 a 29 años (084)",83,,,,,6,48,29
"De 30 a 34 años (085)",101,,,,,17,59,25
"De 35 a 39 años (086)",104,,,,1,24,59,20
"De 40 a 44 años (087)",104,,,,4,39,34,27
"De 45 a 49 años (088)",57,,,,6,25,11,15
"De 50 y más años (089)",161,,9,23,50,43,1,35
"Desocupada (090)",16,,,,1,,8,7
"De 15 a 19 años (092)",1,,,,,,,1
"De 20 a 24 años (093)",3,,,,,,,3
"De 25 a 29 años (094)",4,,,,,,3,1
"De 30 a 34 años (095)",5,,,,,,4,1
"De 40 a 44 años (097)",2,,,,1,,1,
"De 50 y más años (099)",1,,,,,,,1
"No PEA (100)",878,13,56,81,109,143,253,223
"De 12 a 14 años (101)",1,,,,,,1,
"De 15 a 19 años (102)",23,,,,,,12,11
"De 20 a 24 años (103)",88,,,,,,57,31
"De 25 a 29 años (104)",81,,,,,2,57,22
"De 30 a 34 años (105)",77,,,,,12,44,21
"De 35 a 39 años (106)",84,,,,1,28,45,10
"De 40 a 44 años (107)",60,,,,,25,23,12
"De 45 a 49 años (108)",46,,,,3,26,10,7
"De 50 y más años (109)",418,13,56,81,105,50,4,109
,,,,,,,,
"RURAL (120)",3388,41,111,231,431,636,1245,693
"De 12 a 14 años (121)",5,,,,,,,5
"De 15 a 19 años (122)",98,,,,,,62,36
"De 20 a 24 años (123)",258,,,,,,194,64
"De 25 a 29 años (124)",333,,,,,10,254,69
"De 30 a 34 años (125)",341,,,,,47,252,42
"De 35 a 39 años (126)",328,,,,3,67,226,32
"De 40 a 44 años (127)",309,,,,7,112,152,38
"De 45 a 49 años (128)",276,,,1,18,142,85,30
"De 50 y más años (129)",1440,41,111,230,403,258,20,377
"PEA (130)",1057,5,21,65,150,241,376,199
"De 12 a 14 años (131)",1,,,,,,,1
"De 15 a 19 años (132)",27,,,,,,17,10
"De 20 a 24 años (133)",83,,,,,,60,23
"De 25 a 29 años (134)",94,,,,,3,67,24
"De 30 a 34 años (135)",106,,,,,17,77,12
"De 35 a 39 años (136)",113,,,,2,29,68,14
"De 40 a 44 años (137)",103,,,,2,41,46,14
"De 45 a 49 años (138)",108,,,,8,56,36,8
"De 50 y más años (139)",422,5,21,65,138,95,5,93
"Ocupada (140)",1055,5,21,65,150,241,374,199
"De 12 a 14 años (141)",1,,,,,,,1
"De 15 a 19 años (142)",26,,,,,,16,10
"De 20 a 24 años (143)",82,,,,,,59,23
"De 25 a 29 años (144)",94,,,,,3,67,24
"De 30 a 34 años (145)",106,,,,,17,77,12
"De 35 a 39 años (146)",113,,,,2,29,68,14
"De 40 a 44 años (147)",103,,,,2,41,46,14
"De 45 a 49 años (148)",108,,,,8,56,36,8
"De 50 y más años (149)",422,5,21,65,138,95,5,93
"Desocupada (150)",2,,,,,,2,
"De 15 a 19 años (152)",1,,,,,,1,
"De 20 a 24 años (153)",1,,,,,,1,
"No PEA (160)",2331,36,90,166,281,395,869,494
"De 12 a 14 años (161)",4,,,,,,,4
"De 15 a 19 años (162)",71,,,,,,45,26
"De 20 a 24 años (163)",175,,,,,,134,41
"De 25 a 29 años (164)",239,,,,,7,187,45
"De 30 a 34 años (165)",235,,,,,30,175,30
"De 35 a 39 años (166)",215,,,,1,38,158,18
"De 40 a 44 años (167)",206,,,,5,71,106,24
"De 45 a 49 años (168)",168,,,1,10,86,49,22
"De 50 y más años (169)",1018,36,90,165,265,163,15,284
