"CUADRO Nº 13: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia VIRU (000)",30684,15492,3135,2625,9432
"Agric., ganadería, caza y silvicultura (001)",16368,8102,2146,1570,4550
"Pesca (002)",109,90,3,10,6
"Explotación de minas y canteras (003)",87,30,6,10,41
"Industrias manufactureras (004)",4474,616,176,362,3320
"Suministro de electricidad, gas y agua (005)",45,18,4,13,10
"Construcción (006)",1371,778,183,140,270
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",2865,2585,123,59,98
"Venta, mant.y rep. veh.autom y motoc. (008)",270,218,20,19,13
"Comercio al por mayor (009)",220,105,15,15,85
"Comercio al por menor (010)",2375,2262,88,25,
"Hoteles y restaurantes (011)",800,722,58,8,12
"Trans., almac. y comunicaciones (012)",1443,937,151,129,226
"Intermediación financiera (013)",40,18,4,12,6
"Activid.inmobil., empres. y alquileres (014)",637,206,62,120,249
"Admin.pub. y defensa; p. segur soc.afil (015)",234,,,,234
"Enseñanza (016)",335,115,89,82,49
"Servicios sociales y de salud (017)",139,39,9,10,81
"Otras activ. serv.comun.soc y personales (018)",350,274,31,31,14
"Hogares privados con servicio doméstico (019)",401,401,,,
"Actividad economica no especificada (021)",986,561,90,69,266
"Hombres (022)",21886,11248,2358,1893,6387
"Agric., ganadería, caza y silvicultura (023)",13040,6977,1630,1121,3312
"Pesca (024)",104,88,3,10,3
"Explotación de minas y canteras (025)",82,29,6,10,37
"Industrias manufactureras (026)",2772,497,133,231,1911
"Suministro de electricidad, gas y agua (027)",41,16,4,11,10
"Construcción (028)",1241,736,169,121,215
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",1373,1180,78,43,72
"Venta, mant.y rep. veh.autom y motoc. (030)",248,201,16,19,12
"Comercio al por mayor (031)",135,55,9,11,60
"Comercio al por menor (032)",990,924,53,13,
"Hoteles y restaurantes (033)",198,162,24,4,8
"Trans., almac. y comunicaciones (034)",1363,879,145,126,213
"Intermediación financiera (035)",18,8,2,5,3
"Activid.inmobil., empres. y alquileres (036)",481,144,40,94,203
"Admin.pub. y defensa; p. segur soc.afil (037)",170,,,,170
"Enseñanza (038)",123,30,35,37,21
"Servicios sociales y de salud (039)",66,21,3,6,36
"Otras activ. serv.comun.soc y personales (040)",215,154,24,28,9
"Hogares privados con servicio doméstico (041)",22,22,,,
