"CUADRO Nº 4: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS QUE SE ENCUENTRAN ACTUALMENTE VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS ACTUALMENTE VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS ACTUALMENTE VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia HUARAL (000)",46317,42749,120,10404,10821,7711,8178,3709,1404,402,3568,130691
"De 12 a 14 años (001)",48,26,2,21,3,,,,,,22,27
"De 15 a 19 años (002)",1020,837,6,755,66,9,1,,,,183,918
"De 20 a 24 años (003)",4708,3579,20,2542,836,145,20,16,,,1129,4837
"De 25 a 29 años (004)",5926,5025,13,2372,1835,621,173,8,3,,901,8706
"De 30 a 34 años (005)",6122,5650,9,1675,2237,1116,557,52,1,3,472,12219
"De 35 a 39 años (006)",5714,5459,10,971,1877,1429,987,166,18,1,255,14428
"De 40 a 44 años (007)",4884,4707,8,585,1295,1244,1197,317,56,5,177,14608
"De 45 a 49 años (008)",3953,3845,7,377,863,872,1153,442,110,21,108,13700
"De 50 y más años (009)",13942,13621,45,1106,1809,2275,4090,2708,1216,372,321,61248
"Sin nivel (010)",5076,4934,14,380,611,710,1496,1069,517,137,142,23005
"De 12 a 14 años (011)",2,2,,2,,,,,,,,2
"De 15 a 19 años (012)",19,19,,13,5,1,,,,,,26
"De 20 a 24 años (013)",89,72,,41,19,5,5,2,,,17,130
"De 25 a 29 años (014)",159,137,,42,53,27,13,1,1,,22,300
"De 30 a 34 años (015)",309,297,1,41,108,66,73,8,,,12,822
"De 35 a 39 años (016)",385,373,,25,88,105,129,25,1,,12,1237
"De 40 a 44 años (017)",405,391,,23,64,87,135,64,17,1,14,1565
"De 45 a 49 años (018)",441,431,,25,38,56,171,98,38,5,10,2022
"De 50 y más años (019)",3267,3212,13,168,236,363,970,871,460,131,55,16901
"Educacion Inicial (020)",61,52,,14,17,11,8,2,,,9,128
"De 15 a 19 años (022)",2,1,,1,,,,,,,1,1
