"CUADRO Nº 13: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia PACHITEA (000)",16666,3374,49,10190,2260,129,177,122,365
"Miembros p.ejec. y leg.direct., adm.pub.y emp (001)",20,,,4,3,,2,2,9
"Profes., científicos e intelectuales (002)",324,,,,11,12,43,9,249
"Técnicos de nivel medio ytrab.asimilados (003)",113,1,,9,16,10,46,21,10
"Jefes y empleados de oficina (004)",74,,,,25,10,14,7,18
"Trab.de serv.pers.y vend.del comerc y mcdo. (005)",748,95,2,322,213,27,20,31,38
"Agricult.trabaj. calif.agrop. y pesquros (006)",8957,2102,24,5933,837,19,16,15,11
"Obreros y oper.minas, cant., ind.manuf.y otros (007)",301,70,,151,59,6,4,4,7
"Obreros. construc., conf., papel, fab., instr (008)",331,11,,158,128,7,10,10,7
"Trabaj.no calif.serv. peon, vend., amb.,y afines (009)",5481,989,19,3464,937,35,13,14,10
"Otra (010)",16,,,,4,,2,6,4
"Ocupación no especificada (011)",301,106,4,149,27,3,7,3,2
"Hombres (012)",14501,2708,37,9265,1983,93,105,93,217
"Miembros p.ejec. y leg.direct., adm.pub.y emp (013)",18,,,4,3,,1,2,8
"Profes., científicos e intelectuales (014)",165,,,,1,4,21,5,134
"Técnicos de nivel medio ytrab.asimilados (015)",73,,,6,10,7,27,16,7
"Jefes y empleados de oficina (016)",39,,,,14,7,4,4,10
"Trab.de serv.pers.y vend.del comerc y mcdo. (017)",335,8,1,150,109,14,10,21,22
"Agricult.trabaj. calif.agrop. y pesquros (018)",8589,1932,22,5768,810,19,13,14,11
"Obreros y oper.minas, cant., ind.manuf.y otros (019)",154,6,,82,51,4,3,2,6
"Obreros. construc., conf., papel, fab., instr (020)",329,10,,158,128,7,10,9,7
"Trabaj.no calif.serv. peon, vend., amb.,y afines (021)",4719,740,14,3065,841,28,10,14,7
"Otra (022)",16,,,,4,,2,6,4
"Ocupación no especificada (023)",64,12,,32,12,3,4,,1
"Mujeres (024)",2165,666,12,925,277,36,72,29,148
"Miembros p.ejec. y leg.direct., adm.pub.y emp (025)",2,,,,,,1,,1
"Profes., científicos e intelectuales (026)",159,,,,10,8,22,4,115
"Técnicos de nivel medio ytrab.asimilados (027)",40,1,,3,6,3,19,5,3
"Jefes y empleados de oficina (028)",35,,,,11,3,10,3,8
"Trab.de serv.pers.y vend.del comerc y mcdo. (029)",413,87,1,172,104,13,10,10,16
"Agricult.trabaj. calif.agrop. y pesquros (030)",368,170,2,165,27,,3,1,
"Obreros y oper.minas, cant., ind.manuf.y otros (031)",147,64,,69,8,2,1,2,1
"Obreros. construc., conf., papel, fab., instr (032)",2,1,,,,,,1,
"Trabaj.no calif.serv. peon, vend., amb.,y afines (033)",762,249,5,399,96,7,3,,3
"Ocupación no especificada (035)",237,94,4,117,15,,3,3,1
,,,,,,,,,
"URBANA (036)",2579,265,7,1101,671,80,124,89,242
"Miembros p.ejec. y leg.direct., adm.pub.y emp (037)",11,,,1,2,,1,2,5
"Profes., científicos e intelectuales (038)",209,,,,4,7,33,7,158
"Técnicos de nivel medio ytrab.asimilados (039)",76,1,,7,11,6,29,13,9
