"CUADRO Nº 2: VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia SAN ANTONIO DE PUTINA (000)",20293,12195,8098
"Casa independiente (001)",14199,10529,3670
"Departamento en edificio (002)",21,21,
"Vivienda en quinta (003)",25,25,
"Vivienda en casa de vecindad (004)",451,451,
"Choza o cabaña (005)",4398,,4398
"Vivienda improvisada (006)",822,822,
"Local no dest.para hab. humana (007)",20,16,4
"Otro tipo (008)",357,331,26
