"CUADRO Nº 14: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia QUISPICANCHI (000)",26385,3551,49,12230,7474,670,1010,487,914
"Agric., ganadería, caza y silvicultura (001)",14453,2892,34,8711,2596,59,54,59,48
"Pesca (002)",4,,,2,,,1,,1
"Explotación de minas y canteras (003)",321,15,,140,147,5,8,2,4
"Industrias manufactureras (004)",1734,142,5,653,731,71,61,43,28
"Suministro de electricidad, gas y agua (005)",50,1,,12,21,4,8,1,3
"Construcción (006)",2161,56,1,706,967,91,147,56,137
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",2182,134,2,686,976,117,126,76,65
"Venta, mant.y rep. veh.autom.y motoc. (008)",161,1,,14,89,17,27,5,8
"Comercio al por mayor (009)",86,1,,25,40,5,5,6,4
"Comercio al por menor (010)",1935,132,2,647,847,95,94,65,53
"Hoteles y restaurantes (011)",815,85,1,352,289,32,25,16,15
"Trans., almac. y comunicaciones (012)",1169,11,1,193,769,64,54,52,25
"Intermediación financiera (013)",8,,,,2,,2,1,3
"Activid.inmobil., empres. y de alquiler (014)",325,3,,33,121,31,46,18,73
"Admin.pub. y defensa; p. segur.soc.afil (015)",833,12,,166,246,71,120,101,117
"Enseñanza (016)",624,,,2,53,44,236,25,264
"Servicios sociales y de salud (017)",189,3,,10,34,15,50,7,70
"Otras activ. serv.comun.soc y personales (018)",309,12,1,77,125,31,34,8,21
"Hogares privados con servicio doméstico (019)",266,27,1,124,93,2,5,6,8
"Actividad economica no especificada (021)",942,158,3,363,304,33,33,16,32
"Hombres (022)",17818,1384,25,8603,5741,441,667,360,597
"Agric., ganadería, caza y silvicultura (023)",10248,1228,19,6544,2277,47,43,52,38
"Pesca (024)",2,,,1,,,1,,
"Explotación de minas y canteras (025)",308,13,,134,143,4,8,2,4
"Industrias manufactureras (026)",968,29,1,359,439,43,44,32,21
"Suministro de electricidad, gas y agua (027)",47,1,,12,19,4,7,1,3
"Construcción (028)",2057,45,1,675,938,87,140,52,119
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",832,18,,221,416,43,69,30,35
"Venta, mant.y rep. veh.autom.y motoc. (030)",153,1,,14,84,16,27,4,7
"Comercio al por mayor (031)",61,,,18,30,4,3,5,1
"Comercio al por menor (032)",618,17,,189,302,23,39,21,27
"Hoteles y restaurantes (033)",152,1,,39,78,8,10,7,9
"Trans., almac. y comunicaciones (034)",1115,9,1,188,740,61,46,49,21
"Intermediación financiera (035)",2,,,,1,,,1,
"Activid.inmobil., empres. y de alquiler (036)",261,2,,27,104,24,38,12,54
"Admin.pub. y defensa; p. segur.soc.afil (037)",679,5,,149,211,50,88,90,86
"Enseñanza (038)",326,,,2,32,24,112,14,142
"Servicios sociales y de salud (039)",74,1,,3,15,7,23,2,23
"Otras activ. serv.comun.soc y personales (040)",208,2,1,47,94,19,24,4,17
"Hogares privados con servicio doméstico (041)",58,7,,20,22,1,1,3,4
"Actividad economica no especificada (043)",481,23,2,182,212,19,13,9,21
"Mujeres (044)",8567,2167,24,3627,1733,229,343,127,317
