"CUADRO Nº 35: POBLACIÓN DESOCUPADA DE 12 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",,,,,,
,,,,,,
"DEPARTAMENTO Y PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"12 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,
"Provincia ESPINAR (000)",1075,18,581,326,129,21
"Conviviente (001)",367,,203,144,19,1
"Separado(a) (002)",24,,7,13,4,
"Casado(a) (003)",276,,44,129,89,14
"Viudo(a) (004)",18,,,5,10,3
"Divorciado(a) (005)",2,,,,1,1
"Soltero(a) (006)",388,18,327,35,6,2
"Hombres (008)",797,10,406,251,116,14
"Conviviente (009)",264,,131,115,18,
"Separado(a) (010)",10,,1,5,4,
"Casado(a) (011)",225,,30,105,80,10
"Viudo(a) (012)",13,,,2,8,3
"Divorciado(a) (013)",1,,,,1,
"Soltero(a) (014)",284,10,244,24,5,1
"Mujeres (016)",278,8,175,75,13,7
"Conviviente (017)",103,,72,29,1,1
"Separado(a) (018)",14,,6,8,,
"Casado(a) (019)",51,,14,24,9,4
"Viudo(a) (020)",5,,,3,2,
"Divorciado(a) (021)",1,,,,,1
"Soltero(a) (022)",104,8,83,11,1,1
,,,,,,
"AREA URBANA (024)",736,10,389,237,89,11
"Conviviente (025)",281,,157,109,14,1
"Separado(a) (026)",19,,6,10,3,
"Casado(a) (027)",179,,19,92,61,7
"Viudo(a) (028)",10,,,4,6,
"Divorciado(a) (029)",2,,,,1,1
"Soltero(a) (030)",245,10,207,22,4,2
"Hombres (032)",516,6,257,171,78,4
"Conviviente (033)",192,,94,85,13,
"Separado(a) (034)",6,,1,2,3,
"Casado(a) (035)",138,,11,71,53,3
"Viudo(a) (036)",6,,,1,5,
"Divorciado(a) (037)",1,,,,1,
"Soltero(a) (038)",173,6,151,12,3,1
"Mujeres (040)",220,4,132,66,11,7
"Conviviente (041)",89,,63,24,1,1
"Separado(a) (042)",13,,5,8,,
"Casado(a) (043)",41,,8,21,8,4
"Viudo(a) (044)",4,,,3,1,
"Divorciado(a) (045)",1,,,,,1
"Soltero(a) (046)",72,4,56,10,1,1
,,,,,,
"AREA RURAL (048)",339,8,192,89,40,10
"Conviviente (049)",86,,46,35,5,
"Separado(a) (050)",5,,1,3,1,
"Casado(a) (051)",97,,25,37,28,7
"Viudo(a) (052)",8,,,1,4,3
"Soltero(a) (054)",143,8,120,13,2,
"Hombres (056)",281,4,149,80,38,10
"Conviviente (057)",72,,37,30,5,
"Separado(a) (058)",4,,,3,1,
"Casado(a) (059)",87,,19,34,27,7
"Viudo(a) (060)",7,,,1,3,3
"Soltero(a) (062)",111,4,93,12,2,
"Mujeres (064)",58,4,43,9,2,
"Conviviente (065)",14,,9,5,,
"Separado(a) (066)",1,,1,,,
"Casado(a) (067)",10,,6,3,1,
"Viudo(a) (068)",1,,,,1,
"Soltero(a) (070)",32,4,27,1,,
