"CUADRO Nº 9: POBLACIÓN DE 3 A 24 AÑOS DE EDAD, POR CONDICIÓN DE ALFABETISMO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y GRUPOS DE EDAD NORMATIVA DE ESTUDIOS",,,
,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y EDAD NORMATIVA DE ESTUDIOS",TOTAL,"CONDICIÓN DE ALFABETISMO",
,,"SABE LEER Y ESCRIBIR","NO SABE LEER NI ESCRIBIR"
,,,
"Provincia SULLANA (000)",124793,105187,19606
"De 3 a 5 años (001)",18025,1944,16081
"De 6 a 11 años (002)",33091,30538,2553
"De 12 a 16 años (003)",31523,31162,361
"De 17 a 24 años (004)",42154,41543,611
"Hombres (005)",62659,52526,10133
"De 3 a 5 años (006)",9279,974,8305
"De 6 a 11 años (007)",16736,15430,1306
"De 12 a 16 años (008)",15822,15614,208
"De 17 a 24 años (009)",20822,20508,314
"Mujeres (010)",62134,52661,9473
"De 3 a 5 años (011)",8746,970,7776
"De 6 a 11 años (012)",16355,15108,1247
"De 12 a 16 años (013)",15701,15548,153
"De 17 a 24 años (014)",21332,21035,297
,,,
"URBANA (015)",111531,94261,17270
"De 3 a 5 años (016)",16191,1838,14353
"De 6 a 11 años (017)",29601,27486,2115
"De 12 a 16 años (018)",28009,27706,303
"De 17 a 24 años (019)",37730,37231,499
"Hombres (020)",55747,46821,8926
"De 3 a 5 años (021)",8347,924,7423
"De 6 a 11 años (022)",14931,13860,1071
"De 12 a 16 años (023)",14061,13886,175
"De 17 a 24 años (024)",18408,18151,257
"Mujeres (025)",55784,47440,8344
"De 3 a 5 años (026)",7844,914,6930
"De 6 a 11 años (027)",14670,13626,1044
"De 12 a 16 años (028)",13948,13820,128
"De 17 a 24 años (029)",19322,19080,242
,,,
"RURAL (030)",13262,10926,2336
"De 3 a 5 años (031)",1834,106,1728
"De 6 a 11 años (032)",3490,3052,438
"De 12 a 16 años (033)",3514,3456,58
"De 17 a 24 años (034)",4424,4312,112
"Hombres (035)",6912,5705,1207
"De 3 a 5 años (036)",932,50,882
"De 6 a 11 años (037)",1805,1570,235
"De 12 a 16 años (038)",1761,1728,33
"De 17 a 24 años (039)",2414,2357,57
"Mujeres (040)",6350,5221,1129
"De 3 a 5 años (041)",902,56,846
"De 6 a 11 años (042)",1685,1482,203
"De 12 a 16 años (043)",1753,1728,25
"De 17 a 24 años (044)",2010,1955,55
