"CUADRO Nº 6: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS QUE SE ENCUENTRAN ACTUALMENTE VIVOS, SEGÚN DEPARTAMENTO, PROVINCIAL, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS ACTUALMENTE VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS ACTUALMENTE VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia GRAU (000)",6462,6290,31,937,919,899,1591,1190,558,165,172,26678
"De 12 a 14 años (001)",8,5,,5,,,,,,,3,5
"De 15 a 19 años (002)",179,161,2,131,24,3,1,,,,18,192
"De 20 a 24 años (003)",541,499,2,277,170,42,8,,,,42,778
"De 25 a 29 años (004)",678,638,1,177,210,168,78,4,,,40,1457
"De 30 a 34 años (005)",699,678,2,92,161,155,222,44,1,1,21,2147
"De 35 a 39 años (006)",677,667,,40,79,122,265,126,33,2,10,2849
"De 40 a 44 años (007)",617,610,2,35,39,67,188,187,79,13,7,3158
"De 45 a 49 años (008)",556,551,2,31,36,54,150,159,97,22,5,3029
"De 50 y más años (009)",2507,2481,20,149,200,288,679,670,348,127,26,13063
"PEA (010)",1391,1336,8,277,232,194,315,189,95,26,55,5033
"De 12 a 14 años (011)",1,1,,1,,,,,,,,1
"De 15 a 19 años (012)",36,32,1,26,5,,,,,,4,36
"De 20 a 24 años (013)",110,99,1,67,26,5,,,,,11,134
"De 25 a 29 años (014)",172,154,,70,53,24,7,,,,18,278
"De 30 a 34 años (015)",205,193,1,46,60,38,38,10,,,12,510
"De 35 a 39 años (016)",177,173,,17,28,41,59,24,4,,4,652
"De 40 a 44 años (017)",174,172,1,14,16,27,63,37,13,1,2,766
"De 45 a 49 años (018)",145,144,2,14,18,25,38,25,17,5,1,659
"De 50 y más años (019)",371,368,2,22,26,34,110,93,61,20,3,1997
"Ocupada (020)",1348,1299,7,260,225,191,310,186,94,26,49,4942
"De 12 a 14 años (021)",1,1,,1,,,,,,,,1
"De 15 a 19 años (022)",30,27,1,21,5,,,,,,3,31
