"CUADRO Nº 6: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES Y TOTAL DE OCUPANTES PRESENTES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",TOTAL,,URBANA,,RURAL,
,"VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES"
,,,,,,
"Provincia CHINCHEROS (000)",13194,51325,4158,16336,9036,34989
"Casa independiente (001)",12923,50712,4121,16201,8802,34511
"Departamento en edificio (002)",1,6,1,6,,
"Vivienda en quinta (003)",2,9,2,9,,
"Vivienda en casa de vecindad (004)",30,109,30,109,,
"Choza o cabaña (005)",228,459,,,228,459
"Vivienda improvisada (006)",2,4,2,4,,
"Local no dest.para hab. humana (007)",7,19,2,7,5,12
"Otro tipo (008)",1,7,,,1,7
