"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia CANCHIS (000)",96224,57645,38579
"Casa independiente (001)",81856,46286,35570
"Departamento en edificio (002)",265,265,
"Vivienda en quinta (003)",910,910,
"Vivienda en casa de vecindad (004)",10131,10131,
"Choza o cabaña (005)",2990,,2990
"Vivienda improvisada (006)",11,11,
"Local no dest.para hab. humana (007)",51,34,17
"Otro tipo (008)",10,8,2
