"CUADRO Nº 1: POBLACIÓN TOTAL, POR ÁREA URBANA Y RURAL, Y SEXO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO Y EDADES SIMPLES",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO Y EDADES SIMPLES",TOTAL,POBLACIÓN,,TOTAL,URBANA,,TOTAL,RURAL,
,,HOMBRES,MUJERES,,HOMBRES,MUJERES,,HOMBRES,MUJERES
,,,,,,,,,
"Provincia REQUENA (000)",65692,34416,31276,37559,19406,18153,28133,15010,13123
"Menores de 1 año (001)",2076,1065,1011,1022,533,489,1054,532,522
"Menores de 1 mes (002)",194,89,105,93,37,56,101,52,49
"De 1 a 11 meses (003)",1882,976,906,929,496,433,953,480,473
"De 1 a 4 años (004)",8597,4318,4279,4468,2257,2211,4129,2061,2068
"1 año (005)",2187,1095,1092,1150,571,579,1037,524,513
"2 años (006)",2304,1138,1166,1200,614,586,1104,524,580
"3 años (007)",2268,1126,1142,1167,572,595,1101,554,547
"4 años (008)",1838,959,879,951,500,451,887,459,428
"De 5 a 9 años (009)",8197,4189,4008,4418,2285,2133,3779,1904,1875
"5 años (010)",1702,867,835,922,468,454,780,399,381
"6 años (011)",1504,784,720,816,422,394,688,362,326
"7 años (012)",1634,879,755,864,472,392,770,407,363
"8 años (013)",1664,813,851,894,450,444,770,363,407
"9 años (014)",1693,846,847,922,473,449,771,373,398
"De 10 a 14 años (015)",9139,4791,4348,5370,2789,2581,3769,2002,1767
"10 años (016)",1827,922,905,1025,509,516,802,413,389
"11 años (017)",1650,863,787,924,473,451,726,390,336
"12 años (018)",1999,1068,931,1140,605,535,859,463,396
"13 años (019)",1839,949,890,1110,572,538,729,377,352
"14 años (020)",1824,989,835,1171,630,541,653,359,294
"De 15 a 19 años (021)",7213,3737,3476,4517,2356,2161,2696,1381,1315
"15 años (022)",1774,933,841,1116,577,539,658,356,302
"16 años (023)",1595,833,762,1042,546,496,553,287,266
"17 años (024)",1419,742,677,871,460,411,548,282,266
"18 años (025)",1350,695,655,842,441,401,508,254,254
"19 años (026)",1075,534,541,646,332,314,429,202,227
"De 20 a 24 años (027)",5164,2537,2627,3001,1446,1555,2163,1091,1072
"20 años (028)",1123,543,580,642,305,337,481,238,243
"21 años (029)",940,448,492,584,280,304,356,168,188
"22 años (030)",1040,528,512,571,278,293,469,250,219
"23 años (031)",1074,525,549,640,310,330,434,215,219
"24 años (032)",987,493,494,564,273,291,423,220,203
"De 25 a 29 años (033)",4524,2291,2233,2565,1250,1315,1959,1041,918
"25 años (034)",953,466,487,537,248,289,416,218,198
"26 años (035)",876,438,438,495,253,242,381,185,196
"27 años (036)",996,514,482,564,269,295,432,245,187
"28 años (037)",894,477,417,521,268,253,373,209,164
"29 años (038)",805,396,409,448,212,236,357,184,173
"De 30 a 34 años (039)",3995,2104,1891,2360,1174,1186,1635,930,705
"30 años (040)",1046,570,476,616,324,292,430,246,184
"31 años (041)",610,314,296,371,175,196,239,139,100
"32 años (042)",803,412,391,469,228,241,334,184,150
"33 años (043)",815,412,403,482,233,249,333,179,154
