"CUADRO Nº 29: POBLACIÓN OCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"CATEGORIA DE OCUPACION",,,,,
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR"
,,,,,,,
"Provincia LA MAR (000)",25909,2227,3504,15270,496,4261,151
"Sin nivel (001)",4279,41,509,2740,80,888,21
"Educación inicial (002)",47,2,3,30,1,11,
"Primaria (003)",11225,150,1567,7411,210,1826,61
"Secundaria (004)",7857,454,1287,4453,167,1431,65
"Superior no univ. incompleta (005)",499,160,62,224,7,44,2
"Superior no univ. completa (006)",911,619,41,201,16,34,
"Superior univ. incompleta (007)",266,126,18,100,3,18,1
"Superior univ. completa (008)",825,675,17,111,12,9,1
"Hombres (010)",18803,1424,2621,12250,409,2069,30
"Sin nivel (011)",2345,12,242,1866,61,162,2
"Educación inicial (012)",28,1,1,20,1,5,
"Primaria (013)",8496,85,1144,6236,185,833,13
"Secundaria (014)",6275,321,1101,3690,137,1014,12
"Superior no univ. incompleta (015)",355,111,61,154,6,22,1
"Superior no univ. completa (016)",534,357,37,118,7,15,
"Superior univ. incompleta (017)",209,91,18,83,2,14,1
"Superior univ. completa (018)",561,446,17,83,10,4,1
"Mujeres (020)",7106,803,883,3020,87,2192,121
"Sin nivel (021)",1934,29,267,874,19,726,19
"Educación inicial (022)",19,1,2,10,,6,
"Primaria (023)",2729,65,423,1175,25,993,48
"Secundaria (024)",1582,133,186,763,30,417,53
"Superior no univ. incompleta (025)",144,49,1,70,1,22,1
"Superior no univ. completa (026)",377,262,4,83,9,19,
"Superior univ. incompleta (027)",57,35,,17,1,4,
"Superior univ. completa (028)",264,229,,28,2,5,
,,,,,,,
"URBANA (030)",11863,1668,1720,6334,308,1736,97
"Sin nivel (031)",1611,32,228,970,56,317,8
"Educación inicial (032)",26,1,2,18,1,4,
"Primaria (033)",4326,113,743,2632,113,688,37
"Secundaria (034)",4074,384,678,2204,107,651,50
"Superior no univ. incompleta (035)",348,111,33,166,6,31,1
"Superior no univ. completa (036)",653,435,13,169,11,25,
"Superior univ. incompleta (037)",208,102,10,80,3,13,
"Superior univ. completa (038)",617,490,13,95,11,7,1
"Hombres (040)",7757,1041,1253,4385,245,816,17
"Sin nivel (041)",761,9,107,532,46,65,2
"Educación inicial (042)",16,,1,12,1,2,
"Primaria (043)",2868,61,519,1891,94,296,7
"Secundaria (044)",2961,269,560,1619,84,422,7
"Superior no univ. incompleta (045)",227,73,32,106,5,11,
"Superior no univ. completa (046)",351,237,11,91,4,8,
"Superior univ. incompleta (047)",159,73,10,64,2,10,
"Superior univ. completa (048)",414,319,13,70,9,2,1
"Mujeres (050)",4106,627,467,1949,63,920,80
"Sin nivel (051)",850,23,121,438,10,252,6
"Educación inicial (052)",10,1,1,6,,2,
"Primaria (053)",1458,52,224,741,19,392,30
"Secundaria (054)",1113,115,118,585,23,229,43
"Superior no univ. incompleta (055)",121,38,1,60,1,20,1
"Superior no univ. completa (056)",302,198,2,78,7,17,
"Superior univ. incompleta (057)",49,29,,16,1,3,
"Superior univ. completa (058)",203,171,,25,2,5,
,,,,,,,
"RURAL (060)",14046,559,1784,8936,188,2525,54
"Sin nivel (061)",2668,9,281,1770,24,571,13
"Educación inicial (062)",21,1,1,12,,7,
"Primaria (063)",6899,37,824,4779,97,1138,24
"Secundaria (064)",3783,70,609,2249,60,780,15
"Superior no univ. incompleta (065)",151,49,29,58,1,13,1
"Superior no univ. completa (066)",258,184,28,32,5,9,
"Superior univ. incompleta (067)",58,24,8,20,,5,1
"Superior univ. completa (068)",208,185,4,16,1,2,
"Hombres (070)",11046,383,1368,7865,164,1253,13
"Sin nivel (071)",1584,3,135,1334,15,97,
"Educación inicial (072)",12,1,,8,,3,
"Primaria (073)",5628,24,625,4345,91,537,6
"Secundaria (074)",3314,52,541,2071,53,592,5
"Superior no univ. incompleta (075)",128,38,29,48,1,11,1
"Superior no univ. completa (076)",183,120,26,27,3,7,
"Superior univ. incompleta (077)",50,18,8,19,,4,1
"Superior univ. completa (078)",147,127,4,13,1,2,
"Mujeres (080)",3000,176,416,1071,24,1272,41
"Sin nivel (081)",1084,6,146,436,9,474,13
"Educación inicial (082)",9,,1,4,,4,
"Primaria (083)",1271,13,199,434,6,601,18
"Secundaria (084)",469,18,68,178,7,188,10
"Superior no univ. incompleta (085)",23,11,,10,,2,
"Superior no univ. completa (086)",75,64,2,5,2,2,
"Superior univ. incompleta (087)",8,6,,1,,1,
"Superior univ. completa (088)",61,58,,3,,,
