"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia CONDORCANQUI (000)",42662,6124,36538
"Casa independiente (001)",9759,5831,3928
"Departamento en edificio (002)",15,15,
"Vivienda en quinta (003)",33,33,
"Vivienda en casa de vecindad (004)",166,166,
"Choza o cabaña (005)",32596,,32596
"Vivienda improvisada (006)",72,72,
"Local no dest.para hab. humana (007)",13,7,6
"Otro tipo (008)",8,,8
