"CUADRO Nº 6: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES Y TOTAL DE OCUPANTES PRESENTES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",TOTAL,,URBANA,,RURAL,
,"VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES"
,,,,,,
"Provincia ALTO AMAZONAS (000)",21248,103588,12980,61796,8268,41792
"Casa independiente (001)",15354,74026,12463,59974,2891,14052
"Departamento en edificio (002)",19,71,19,71,,
"Vivienda en quinta (003)",289,936,289,936,,
"Vivienda en casa de vecindad (004)",63,260,63,260,,
"Choza o cabaña (005)",5372,27721,,,5372,27721
"Vivienda improvisada (006)",114,467,114,467,,
"Local no dest.para hab. humana (007)",30,90,25,71,5,19
"Otro tipo (008)",7,17,7,17,,
