"CUADRO Nº 6: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES Y TOTAL DE OCUPANTES PRESENTES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",TOTAL,,URBANA,,RURAL,
,"VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES"
,,,,,,
"Provincia CELENDIN (000)",21318,88329,5303,22004,16015,66325
"Casa independiente (001)",20409,84606,5046,20942,15363,63664
"Departamento en edificio (002)",12,30,12,30,,
"Vivienda en quinta (003)",139,609,139,609,,
"Vivienda en casa de vecindad (004)",93,397,93,397,,
"Choza o cabaña (005)",642,2646,,,642,2646
"Vivienda improvisada (006)",1,2,1,2,,
"Local no dest.para hab. humana (007)",17,31,9,20,8,11
"Otro tipo (008)",5,8,3,4,2,4
