"CUADRO Nº 8: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, HIJOS SOBREVIVIENTES, HIJOS NACIDOS EL ÚLTIMO AÑO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","HIJOS NACIDOS VIVOS",,"NACIDOS VIVOS ULTIMO AÑO",PROPORCION,,
,,TOTAL,SOBREVIVIENTES,,TOTAL,"ULTIMO AÑO",
,,,,,,,
"Provincia MOHO (000)",10830,33026,29080,,421,88.1,1.3
"De 12 a 14 años (001)",1001,8,8,,,100,
"De 15 a 19 años (002)",1233,136,130,48,95.6,35.3,
"De 20 a 24 años (003)",810,656,634,99,96.6,15.1,
"De 25 a 29 años (004)",761,1316,1272,111,96.7,8.4,
"De 30 a 34 años (005)",785,1941,1842,67,94.9,3.5,
"De 35 a 39 años (006)",776,2525,2365,62,93.7,2.5,
"De 40 a 44 años (007)",736,2975,2786,33,93.6,1.1,
"De 45 a 49 años (008)",638,2871,2588,1,90.1,,
"De 50 y más años (009)",4090,20598,17455,,84.7,,
"Conviviente (010)",1703,3863,3629,242,93.9,6.3,
"De 12 a 14 años (011)",15,4,4,,100,,
"De 15 a 19 años (012)",160,83,79,35,95.2,42.2,
"De 20 a 24 años (013)",333,422,410,81,97.2,19.2,
"De 25 a 29 años (014)",347,668,643,66,96.3,9.9,
"De 30 a 34 años (015)",265,651,616,30,94.6,4.6,
"De 35 a 39 años (016)",186,566,541,23,95.6,4.1,
"De 40 a 44 años (017)",120,399,382,7,95.7,1.8,
"De 45 a 49 años (018)",75,303,281,,92.7,,
"De 50 y más años (019)",202,767,673,,87.7,,
"Separado(a) (020)",274,691,639,12,92.5,1.7,
"De 15 a 19 años (022)",13,11,11,4,100,36.4,
"De 20 a 24 años (023)",23,29,28,1,96.6,3.4,
"De 25 a 29 años (024)",27,44,44,1,100,2.3,
"De 30 a 34 años (025)",27,53,49,2,92.5,3.8,
"De 35 a 39 años (026)",37,99,93,4,93.9,4,
"De 40 a 44 años (027)",27,67,61,,91,,
"De 45 a 49 años (028)",23,94,88,,93.6,,
"De 50 y más años (029)",97,294,265,,90.1,,
"Casado(a) (030)",4459,21422,19033,146,88.8,0.7,
"De 12 a 14 años (031)",2,2,2,,100,,
"De 15 a 19 años (032)",20,13,12,2,92.3,15.4,
"De 20 a 24 años (033)",89,152,145,13,95.4,8.6,
"De 25 a 29 años (034)",216,545,527,38,96.7,7,
"De 30 a 34 años (035)",347,1127,1073,34,95.2,3,
"De 35 a 39 años (036)",450,1721,1603,33,93.1,1.9,
"De 40 a 44 años (037)",497,2301,2152,25,93.5,1.1,
"De 45 a 49 años (038)",459,2287,2054,1,89.8,,
