"CUADRO Nº 4: POBLACIÓN EN VIVIENDAS PARTICULARES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO Y TIPO DE VIVIENDA",,,
,,,
"DEPARTAMENTO, PROVINCIA Y TIPO DE VIVIENDA",TOTAL,ÁREA,
,,URBANA,RURAL
,,,
"Provincia OXAPAMPA (000)",79447,28409,51038
"Casa independiente (001)",58301,25363,32938
"Departamento en edificio (002)",178,178,
"Vivienda en quinta (003)",1242,1242,
"Vivienda en casa de vecindad (004)",1142,1142,
"Choza o cabaña (005)",17996,,17996
"Vivienda improvisada (006)",350,350,
"Local no dest.para hab. humana (007)",162,80,82
"Otro tipo (008)",76,54,22
