"CUADRO Nº 5: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS QUE SE ENCUENTRAN ACTUALMENTE VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS ACTUALMENTE VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS ACTUALMENTE VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia PAUCARTAMBO (000)",10913,10461,44,1709,1793,1687,2842,1668,601,117,452,39904
"De 12 a 14 años (001)",34,11,2,8,1,,,,,,23,10
"De 15 a 19 años (002)",437,375,3,312,49,7,4,,,,62,447
"De 20 a 24 años (003)",1336,1184,5,586,411,140,34,8,,,152,2024
"De 25 a 29 años (004)",1497,1399,1,268,462,369,281,18,,,98,3588
"De 30 a 34 años (005)",1450,1419,,136,280,356,504,135,8,,31,4893
"De 35 a 39 años (006)",1319,1302,3,69,153,227,526,258,58,8,17,5613
"De 40 a 44 años (007)",1145,1128,5,67,103,135,373,299,121,25,17,5553
"De 45 a 49 años (008)",900,888,3,43,69,101,269,275,106,22,12,4595
"De 50 y más años (009)",2795,2755,22,220,265,352,851,675,308,62,40,13181
"Conviviente (010)",3785,3655,15,934,860,640,762,337,88,19,130,10998
"De 12 a 14 años (011)",27,6,2,4,,,,,,,21,4
"De 15 a 19 años (012)",333,288,3,237,41,4,3,,,,45,343
"De 20 a 24 años (013)",845,810,4,405,287,88,24,2,,,35,1358
"De 25 a 29 años (014)",780,769,,153,274,207,127,8,,,11,1902
"De 30 a 34 años (015)",562,558,,61,108,153,193,40,3,,4,1855
"De 35 a 39 años (016)",446,442,1,21,67,88,163,86,12,4,4,1834
"De 40 a 44 años (017)",281,278,1,21,31,37,92,69,23,4,3,1287
"De 45 a 49 años (018)",189,188,,6,16,24,60,61,18,3,1,947
"De 50 y más años (019)",322,316,4,26,36,39,100,71,32,8,6,1468
"Separado(a) (020)",354,350,2,145,69,43,53,27,11,,4,915
"De 12 a 14 años (021)",2,1,,1,,,,,,,1,1
"De 15 a 19 años (022)",32,30,,27,1,1,1,,,,2,36
