"CUADRO Nº 4: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS QUE SE ENCUENTRAN ACTUALMENTE VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS ACTUALMENTE VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS ACTUALMENTE VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia SAN ROMAN (000)",60718,56685,311,13670,14905,10228,11069,4601,1587,314,4033,168664
"De 12 a 14 años (001)",67,34,5,27,2,,,,,,33,31
"De 15 a 19 años (002)",956,804,20,686,73,14,11,,,,152,918
"De 20 a 24 años (003)",6292,4725,56,3384,1051,181,45,8,,,1567,6266
"De 25 a 29 años (004)",8770,7516,42,3505,2743,900,307,13,6,,1254,13103
"De 30 a 34 años (005)",9164,8671,54,2291,3432,1807,963,116,5,3,493,19463
"De 35 a 39 años (006)",8506,8324,20,1346,2835,2066,1667,333,49,8,182,23004
"De 40 a 44 años (007)",7030,6881,20,762,1803,1724,1883,529,144,16,149,22480
"De 45 a 49 años (008)",5738,5677,23,545,1117,1263,1729,745,208,47,61,21140
"De 50 y más años (009)",14195,14053,71,1124,1849,2273,4464,2857,1175,240,142,62259
"Sin nivel (010)",6974,6848,36,599,762,981,2105,1537,683,145,126,31550
"De 12 a 14 años (011)",2,2,,1,1,,,,,,,3
"De 15 a 19 años (012)",6,6,,4,1,,1,,,,,10
"De 20 a 24 años (013)",59,47,,26,13,3,4,1,,,12,83
"De 25 a 29 años (014)",105,93,,22,38,17,13,2,1,,12,226
"De 30 a 34 años (015)",170,157,,21,40,43,42,11,,,13,481
"De 35 a 39 años (016)",209,204,1,22,35,49,66,23,7,1,5,747
"De 40 a 44 años (017)",360,348,,35,44,66,114,59,27,3,12,1460
"De 45 a 49 años (018)",523,514,2,41,44,77,158,124,50,18,9,2466
"De 50 y más años (019)",5540,5477,33,427,546,726,1707,1317,598,123,63,26074
"Educacion Inicial (020)",40,35,,8,12,10,3,2,,,5,87
