"CUADRO Nº 4: POBLACIÓN ECONÓMICAMENTE ACTIVA DE 6 Y MÁS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia BOLOGNESI (000)",11569,153,3649,3994,2711,1062
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",49,,10,21,18,
"Profes., científicos e intelectuales (002)",801,,179,446,167,9
"Técnicos de nivel medio y trab.asimilados (003)",290,,103,128,55,4
"Jefes y empleados de oficina (004)",327,,126,128,70,3
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",1013,5,308,389,233,78
"Agricult.trabaj. calif. agrop. y pesqueros (006)",2631,11,433,754,869,564
"Obreros y oper.minas, cant.,ind.manuf. y otros (007)",749,6,297,278,146,22
"Obreros construc., conf., papel, fab., instr. (008)",896,1,278,413,192,12
"Trabaj. no calif.serv.,peon, vend,amb.,y afines (009)",3603,123,1399,1025,754,302
"Otra (010)",42,,2,30,10,
"Ocupación no especificada (011)",644,,233,234,122,55
"Desocupado (012)",524,7,281,148,75,13
"Hombres (013)",8354,103,2638,2893,1939,781
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (014)",36,,4,18,14,
"Profes., científicos e intelectuales (015)",476,,107,247,113,9
"Técnicos de nivel medio y trab.asimilados (016)",207,,71,90,43,3
"Jefes y empleados de oficina (017)",196,,54,85,54,3
"Trab.de serv.pers.y vend.del comerc.y mcdo. (018)",403,4,124,150,85,40
"Agricult.trabaj. calif. agrop. y pesqueros (019)",2166,5,347,638,707,469
"Obreros y oper.minas, cant.,ind.manuf. y otros (020)",692,6,280,256,128,22
"Obreros construc., conf., papel, fab., instr. (021)",888,1,274,411,190,12
"Trabaj. no calif.serv.,peon, vend,amb.,y afines (022)",2463,80,1034,686,471,192
"Otra (023)",42,,2,30,10,
"Ocupación no especificada (024)",421,,171,171,61,18
"Desocupado (025)",364,7,170,111,63,13
"Mujeres (026)",3215,50,1011,1101,772,281
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (027)",13,,6,3,4,
"Profes., científicos e intelectuales (028)",325,,72,199,54,
"Técnicos de nivel medio y trab.asimilados (029)",83,,32,38,12,1
"Jefes y empleados de oficina (030)",131,,72,43,16,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (031)",610,1,184,239,148,38
"Agricult.trabaj. calif. agrop. y pesqueros (032)",465,6,86,116,162,95
"Obreros y oper.minas, cant.,ind.manuf. y otros (033)",57,,17,22,18,
"Obreros construc., conf., papel, fab., instr. (034)",8,,4,2,2,
