"CUADRO Nº 10: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y GRANDES GRUPOS DE EDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia JAUJA (000)",28936,22408,2520,1675,2333
"Hombres (001)",17920,13792,1641,1154,1333
"Mujeres (002)",11016,8616,879,521,1000
"De 06 a 14 años (003)",377,331,36,10,
"Hombres (004)",230,201,20,9,
"Mujeres (005)",147,130,16,1,
"De 15 a 29 años (006)",7964,6083,840,465,576
"Hombres (007)",5058,3900,550,325,283
"Mujeres (008)",2906,2183,290,140,293
"De 30 a 44 años (009)",9847,7205,936,697,1009
"Hombres (010)",5909,4298,584,448,579
"Mujeres (011)",3938,2907,352,249,430
"De 45 a 64 años (012)",8289,6514,601,467,707
"Hombres (013)",5103,3922,402,340,439
"Mujeres (014)",3186,2592,199,127,268
"De 65 y más años (015)",2459,2275,107,36,41
"Hombres (016)",1620,1471,85,32,32
"Mujeres (017)",839,804,22,4,9
,,,,,
"URBANA (018)",20631,15196,1879,1400,2156
"Hombres (019)",12296,8959,1200,927,1210
"Mujeres (020)",8335,6237,679,473,946
"De 06 a 14 años (021)",236,206,24,6,
"Hombres (022)",143,123,15,5,
"Mujeres (023)",93,83,9,1,
"De 15 a 29 años (024)",5505,4012,615,359,519
"Hombres (025)",3389,2502,403,237,247
"Mujeres (026)",2116,1510,212,122,272
"De 30 a 44 años (027)",7248,4978,723,614,933
"Hombres (028)",4150,2817,430,381,522
"Mujeres (029)",3098,2161,293,233,411
"De 45 a 64 años (030)",5952,4450,445,392,665
"Hombres (031)",3524,2544,293,278,409
"Mujeres (032)",2428,1906,152,114,256
"De 65 y más años (033)",1690,1550,72,29,39
"Hombres (034)",1090,973,59,26,32
"Mujeres (035)",600,577,13,3,7
,,,,,
"RURAL (036)",8305,7212,641,275,177
"Hombres (037)",5624,4833,441,227,123
"Mujeres (038)",2681,2379,200,48,54
"De 06 a 14 años (039)",141,125,12,4,
"Hombres (040)",87,78,5,4,
"Mujeres (041)",54,47,7,,
"De 15 a 29 años (042)",2459,2071,225,106,57
"Hombres (043)",1669,1398,147,88,36
"Mujeres (044)",790,673,78,18,21
"De 30 a 44 años (045)",2599,2227,213,83,76
"Hombres (046)",1759,1481,154,67,57
"Mujeres (047)",840,746,59,16,19
"De 45 a 64 años (048)",2337,2064,156,75,42
"Hombres (049)",1579,1378,109,62,30
"Mujeres (050)",758,686,47,13,12
"De 65 y más años (051)",769,725,35,7,2
"Hombres (052)",530,498,26,6,
"Mujeres (053)",239,227,9,1,2
