"CUADRO Nº 18: POBLACIÓN OCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"CATEGORIA DE OCUPACION",,,,,
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR"
,,,,,,,
"Provincia HUANTA (000)",27416,3274,4406,14852,567,3994,323
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",38,38,,,,,
"Profes., científicos e intelectuales (002)",1768,1577,,178,9,4,
"Técnicos de nivel medio y trab. asimilados (003)",490,292,,171,25,2,
"Jefes y empleados de oficina (004)",318,310,,3,,5,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",2587,410,15,1732,69,361,
"Agricult.trabaj. calif.agrop. y pesqueros (006)",10949,3,,10543,400,3,
"Obreros y oper.minas, cant., ind.manuf.y otros (007)",708,,171,487,22,28,
"Obreros construc.,conf., papel, fab., instr. (008)",1341,173,429,688,26,25,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (009)",8385,244,3700,689,7,3422,323
"Otra (010)",120,120,,,,,
"Ocupación no especificada (011)",712,107,91,361,9,144,
"Hombres (012)",18860,1768,3390,11409,424,1840,29
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (013)",32,32,,,,,
"Profes., científicos e intelectuales (014)",851,740,,103,7,1,
"Técnicos de nivel medio y trab. asimilados (015)",308,167,,126,14,1,
"Jefes y empleados de oficina (016)",168,164,,2,,2,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (017)",892,186,5,590,28,83,
"Agricult.trabaj. calif.agrop. y pesqueros (018)",9503,3,,9169,331,,
"Obreros y oper.minas, cant., ind.manuf.y otros (019)",566,,150,387,13,16,
"Obreros construc.,conf., papel, fab., instr. (020)",1304,173,411,670,26,24,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (021)",4829,132,2773,219,2,1674,29
"Otra (022)",115,115,,,,,
"Ocupación no especificada (023)",292,56,51,143,3,39,
"Mujeres (024)",8556,1506,1016,3443,143,2154,294
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (025)",6,6,,,,,
"Profes., científicos e intelectuales (026)",917,837,,75,2,3,
"Técnicos de nivel medio y trab. asimilados (027)",182,125,,45,11,1,
"Jefes y empleados de oficina (028)",150,146,,1,,3,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (029)",1695,224,10,1142,41,278,
"Agricult.trabaj. calif.agrop. y pesqueros (030)",1446,,,1374,69,3,
"Obreros y oper.minas, cant., ind.manuf.y otros (031)",142,,21,100,9,12,
"Obreros construc.,conf., papel, fab., instr. (032)",37,,18,18,,1,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (033)",3556,112,927,470,5,1748,294
"Otra (034)",5,5,,,,,
"Ocupación no especificada (035)",420,51,40,218,6,105,
,,,,,,,
"URBANA (036)",13303,2891,2051,6487,245,1376,253
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (037)",26,26,,,,,
"Profes., científicos e intelectuales (038)",1516,1369,,136,9,2,
"Técnicos de nivel medio y trab. asimilados (039)",445,257,,162,24,2,
"Jefes y empleados de oficina (040)",297,290,,3,,4,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (041)",2291,362,11,1529,65,324,
"Agricult.trabaj. calif.agrop. y pesqueros (042)",2970,1,,2866,100,3,
"Obreros y oper.minas, cant., ind.manuf.y otros (043)",615,,138,429,21,27,
"Obreros construc.,conf., papel, fab., instr. (044)",1028,153,272,570,17,16,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (045)",3629,230,1584,614,5,943,253
"Otra (046)",110,110,,,,,
"Ocupación no especificada (047)",376,93,46,178,4,55,
"Hombres (048)",8056,1555,1519,4201,158,602,21
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (049)",23,23,,,,,
"Profes., científicos e intelectuales (050)",730,641,,81,7,1,
"Técnicos de nivel medio y trab. asimilados (051)",278,144,,120,13,1,
"Jefes y empleados de oficina (052)",156,152,,2,,2,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (053)",799,166,4,524,28,77,
"Agricult.trabaj. calif.agrop. y pesqueros (054)",2408,1,,2329,78,,
"Obreros y oper.minas, cant., ind.manuf.y otros (055)",493,,121,344,12,16,
"Obreros construc.,conf., papel, fab., instr. (056)",1000,153,257,557,17,16,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (057)",1908,123,1108,177,2,477,21
"Otra (058)",105,105,,,,,
"Ocupación no especificada (059)",156,47,29,67,1,12,
"Mujeres (060)",5247,1336,532,2286,87,774,232
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (061)",3,3,,,,,
"Profes., científicos e intelectuales (062)",786,728,,55,2,1,
"Técnicos de nivel medio y trab. asimilados (063)",167,113,,42,11,1,
"Jefes y empleados de oficina (064)",141,138,,1,,2,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (065)",1492,196,7,1005,37,247,
"Agricult.trabaj. calif.agrop. y pesqueros (066)",562,,,537,22,3,
"Obreros y oper.minas, cant., ind.manuf.y otros (067)",122,,17,85,9,11,
"Obreros construc.,conf., papel, fab., instr. (068)",28,,15,13,,,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (069)",1721,107,476,437,3,466,232
"Otra (070)",5,5,,,,,
"Ocupación no especificada (071)",220,46,17,111,3,43,
,,,,,,,
"RURAL (072)",14113,383,2355,8365,322,2618,70
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (073)",12,12,,,,,
"Profes., científicos e intelectuales (074)",252,208,,42,,2,
"Técnicos de nivel medio y trab. asimilados (075)",45,35,,9,1,,
"Jefes y empleados de oficina (076)",21,20,,,,1,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (077)",296,48,4,203,4,37,
"Agricult.trabaj. calif.agrop. y pesqueros (078)",7979,2,,7677,300,,
"Obreros y oper.minas, cant., ind.manuf.y otros (079)",93,,33,58,1,1,
"Obreros construc.,conf., papel, fab., instr. (080)",313,20,157,118,9,9,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (081)",4756,14,2116,75,2,2479,70
"Otra (082)",10,10,,,,,
"Ocupación no especificada (083)",336,14,45,183,5,89,
"Hombres (084)",10804,213,1871,7208,266,1238,8
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (085)",9,9,,,,,
"Profes., científicos e intelectuales (086)",121,99,,22,,,
"Técnicos de nivel medio y trab. asimilados (087)",30,23,,6,1,,
"Jefes y empleados de oficina (088)",12,12,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (089)",93,20,1,66,,6,
"Agricult.trabaj. calif.agrop. y pesqueros (090)",7095,2,,6840,253,,
"Obreros y oper.minas, cant., ind.manuf.y otros (091)",73,,29,43,1,,
"Obreros construc.,conf., papel, fab., instr. (092)",304,20,154,113,9,8,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (093)",2921,9,1665,42,,1197,8
"Otra (094)",10,10,,,,,
"Ocupación no especificada (095)",136,9,22,76,2,27,
"Mujeres (096)",3309,170,484,1157,56,1380,62
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (097)",3,3,,,,,
