"CUADRO Nº 8: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ALFABETISMO",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ALFABETISMO",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 9 AÑOS","10 A 14 AÑOS","15 A 19 AÑOS","20 A 29 AÑOS","30 A 39 AÑOS","40 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia AZANGARO (000)",128905,6148,16060,17994,14318,20594,15669,26708,11414
"Sabe leer y escribir (001)",103882,,12423,17899,14233,20220,14850,19905,4352
"No sabe leer y escribir (002)",25023,6148,3637,95,85,374,819,6803,7062
"Hombres (004)",62484,3044,8093,9198,7200,9837,7241,12567,5304
"Sabe leer y escribir (005)",54468,,6245,9149,7176,9748,7071,11578,3501
"No sabe leer y escribir (006)",8016,3044,1848,49,24,89,170,989,1803
"Mujeres (008)",66421,3104,7967,8796,7118,10757,8428,14141,6110
"Sabe leer y escribir (009)",49414,,6178,8750,7057,10472,7779,8327,851
"No sabe leer y escribir (010)",17007,3104,1789,46,61,285,649,5814,5259
,,,,,,,,,
"URBANA (012)",35295,1536,4270,4805,4274,6433,4997,6924,2056
"Sabe leer y escribir (013)",30704,,3467,4790,4251,6376,4874,5977,969
"No sabe leer y escribir (014)",4591,1536,803,15,23,57,123,947,1087
"Hombres (016)",17505,761,2152,2463,2178,3114,2304,3565,968
"Sabe leer y escribir (017)",15868,,1733,2455,2167,3099,2276,3423,715
"No sabe leer y escribir (018)",1637,761,419,8,11,15,28,142,253
"Mujeres (020)",17790,775,2118,2342,2096,3319,2693,3359,1088
"Sabe leer y escribir (021)",14836,,1734,2335,2084,3277,2598,2554,254
"No sabe leer y escribir (022)",2954,775,384,7,12,42,95,805,834
,,,,,,,,,
"RURAL (024)",93610,4612,11790,13189,10044,14161,10672,19784,9358
"Sabe leer y escribir (025)",73178,,8956,13109,9982,13844,9976,13928,3383
"No sabe leer y escribir (026)",20432,4612,2834,80,62,317,696,5856,5975
"Hombres (028)",44979,2283,5941,6735,5022,6723,4937,9002,4336
"Sabe leer y escribir (029)",38600,,4512,6694,5009,6649,4795,8155,2786
"No sabe leer y escribir (030)",6379,2283,1429,41,13,74,142,847,1550
"Mujeres (032)",48631,2329,5849,6454,5022,7438,5735,10782,5022
"Sabe leer y escribir (033)",34578,,4444,6415,4973,7195,5181,5773,597
"No sabe leer y escribir (034)",14053,2329,1405,39,49,243,554,5009,4425
