"CUADRO Nº 9: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, HIJOS SOBREVIVIENTES, HIJOS NACIDOS EL ÚLTIMO AÑO, SEGÚN DEPARTAMENTO, PROVIINCIA, ÁREA URBANA Y RURAL, CONDICIÓN DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, CONDICION DE ACTIVIDAD Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","HIJOS NACIDOS VIVOS",,"NACIDOS VIVOS ULTIMO AÑO",PROPORCION,,
,,TOTAL,SOBREVIVIENTES,,TOTAL,"ULTIMO AÑO",
,,,,,,,
"Provincia YUNGAY (000)",20294,56844,48321,,979,85,1.7
"De 12 a 14 años (001)",2039,10,9,,3,90,30
"De 15 a 19 años (002)",2796,362,351,123,97,34,
"De 20 a 24 años (003)",2453,1956,1887,281,96.5,14.4,
"De 25 a 29 años (004)",2037,3496,3315,203,94.8,5.8,
"De 30 a 34 años (005)",1921,5090,4783,182,94,3.6,
"De 35 a 39 años (006)",1721,5976,5484,110,91.8,1.8,
"De 40 a 44 años (007)",1383,6073,5410,57,89.1,0.9,
"De 45 a 49 años (008)",1207,6086,5330,20,87.6,0.3,
"De 50 y más años (009)",4737,27795,21752,,78.3,,
"PEA (010)",3980,10276,9182,120,89.4,1.2,
"De 12 a 14 años (011)",65,,,,,,
"De 15 a 19 años (012)",325,44,40,13,90.9,29.5,
"De 20 a 24 años (013)",500,291,273,25,93.8,8.6,
"De 25 a 29 años (014)",497,525,510,27,97.1,5.1,
"De 30 a 34 años (015)",515,1012,973,29,96.1,2.9,
"De 35 a 39 años (016)",496,1311,1253,16,95.6,1.2,
"De 40 a 44 años (017)",402,1413,1308,6,92.6,0.4,
"De 45 a 49 años (018)",297,1164,1068,4,91.8,0.3,
"De 50 y más años (019)",883,4516,3757,,83.2,,
"Ocupada (020)",3774,10112,9033,111,89.3,1.1,
"De 12 a 14 años (021)",58,,,,,,
"De 15 a 19 años (022)",279,39,35,12,89.7,30.8,
"De 20 a 24 años (023)",437,274,256,23,93.4,8.4,
"De 25 a 29 años (024)",458,499,484,23,97,4.6,
"De 30 a 34 años (025)",494,993,954,28,96.1,2.8,
"De 35 a 39 años (026)",485,1295,1237,15,95.5,1.2,
"De 40 a 44 años (027)",395,1389,1287,6,92.7,0.4,
"De 45 a 49 años (028)",295,1156,1062,4,91.9,0.3,
"De 50 y más años (029)",873,4467,3718,,83.2,,
"Desocupada (030)",206,164,149,9,90.9,5.5,
"De 12 a 14 años (031)",7,,,,,,
"De 15 a 19 años (032)",46,5,5,1,100,20,
"De 20 a 24 años (033)",63,17,17,2,100,11.8,
"De 25 a 29 años (034)",39,26,26,4,100,15.4,
"De 30 a 34 años (035)",21,19,19,1,100,5.3,
"De 35 a 39 años (036)",11,16,16,1,100,6.3,
"De 40 a 44 años (037)",7,24,21,,87.5,,
