"CUADRO Nº 3: POBLACIÓN TOTAL EN VIVIENDAS PARTICULARES, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, Y TIPO DE VIVIENDA PARTICULAR",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL Y TIPO DE VIVIENDA PARTICULAR",TOTAL,"GRANDES GRUPOS DE EDAD",,,,,
,,"MENOS DE 1 AÑO","1 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,
"Provincia SAN ANTONIO DE PUTINA (000)",50282,923,14071,16504,10704,5900,2180
"Casa independiente (001)",37374,690,10309,12499,8337,4221,1318
"Departamento en edificio (002)",59,,20,18,19,1,1
"Vivienda en quinta (003)",87,3,20,29,21,13,1
"Vivienda en casa de vecindad (004)",920,23,244,373,204,65,11
"Choza o cabaña (005)",9480,150,2899,2598,1574,1423,836
"Vivienda improvisada (006)",1502,38,367,625,351,111,10
"Local no destinado para hab.humana (007)",52,1,14,14,12,10,1
"Otro tipo (008)",808,18,198,348,186,56,2
,,,,,,,
"URBANA (009)",33473,630,9109,11640,7663,3480,951
"Casa independiente (010)",30120,548,8272,10254,6891,3230,925
"Departamento en edificio (011)",59,,20,18,19,1,1
"Vivienda en quinta (012)",87,3,20,29,21,13,1
"Vivienda en casa de vecindad (013)",920,23,244,373,204,65,11
"Vivienda improvisada (015)",1502,38,367,625,351,111,10
"Local no destinado para hab.humana (016)",42,1,11,13,9,7,1
"Otro tipo (017)",743,17,175,328,168,53,2
,,,,,,,
"RURAL (018)",16809,293,4962,4864,3041,2420,1229
"Casa independiente (019)",7254,142,2037,2245,1446,991,393
"Choza o cabaña (023)",9480,150,2899,2598,1574,1423,836
"Local no destinado para hab.humana (025)",10,,3,1,3,3,
"Otro tipo (026)",65,1,23,20,18,3,
