"CUADRO Nº 11: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR AÑO EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",TOTAL,"GRUPO DE AÑOS EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO",,,,,,"NO ESPECIFICADO"
,,"ANTES DE 1960","1960 A 1969","1970 A 1979","1980 A 1989","1990 A 1999","2000 A 2007",
,,,,,,,,
"Provincia CHINCHA (000)",56981,595,1639,3881,6708,10470,18458,15230
"De 12 a 14 años (001)",66,,,,,,5,61
"De 15 a 19 años (002)",1546,,,,,,859,687
"De 20 a 24 años (003)",6425,,,,,20,3321,3084
"De 25 a 29 años (004)",7629,,,,,319,4489,2821
"De 30 a 34 años (005)",7547,,,,1,1147,4503,1896
"De 35 a 39 años (006)",6746,,,,73,2127,3156,1390
"De 40 a 44 años (007)",5761,,,,497,2579,1583,1102
"De 45 a 49 años (008)",4768,,,43,1145,2274,473,833
"De 50 y más años (009)",16493,595,1639,3838,4992,2004,69,3356
"Conviviente (010)",11691,15,48,162,563,1624,6298,2981
"De 12 a 14 años (011)",49,,,,,,5,44
"De 15 a 19 años (012)",975,,,,,,532,443
"De 20 a 24 años (013)",2495,,,,,6,1623,866
"De 25 a 29 años (014)",2422,,,,,102,1716,604
"De 30 a 34 años (015)",1867,,,,,254,1260,353
"De 35 a 39 años (016)",1326,,,,17,349,748,212
"De 40 a 44 años (017)",883,,,,69,383,298,133
"De 45 a 49 años (018)",578,,,5,101,278,102,92
"De 50 y más años (019)",1096,15,48,157,376,252,14,234
"Separado(a) (020)",4120,18,89,281,581,1055,1180,916
"De 12 a 14 años (021)",3,,,,,,,3
"De 15 a 19 años (022)",94,,,,,,57,37
"De 20 a 24 años (023)",310,,,,,3,204,103
"De 25 a 29 años (024)",486,,,,,45,302,139
"De 30 a 34 años (025)",553,,,,1,156,281,115
"De 35 a 39 años (026)",560,,,,6,249,184,121
"De 40 a 44 años (027)",518,,,,66,233,119,100
"De 45 a 49 años (028)",436,,,9,127,203,30,67
"De 50 y más años (029)",1160,18,89,272,381,166,3,231
"Casado(a) (030)",29120,170,732,2386,4564,6755,9667,4846
"De 12 a 14 años (031)",8,,,,,,,8
"De 15 a 19 años (032)",281,,,,,,140,141
"De 20 a 24 años (033)",1711,,,,,5,1174,532
"De 25 a 29 años (034)",2907,,,,,117,2137,653
"De 30 a 34 años (035)",3942,,,,,587,2727,628
"De 35 a 39 años (036)",3958,,,,43,1323,2043,549
"De 40 a 44 años (037)",3616,,,,300,1752,1080,484
"De 45 a 49 años (038)",3091,,,19,764,1611,320,377
"De 50 y más años (039)",9606,170,732,2367,3457,1360,46,1474
"Viudo(a) (040)",3867,360,712,898,651,372,122,752
"De 12 a 14 años (041)",1,,,,,,,1
"De 15 a 19 años (042)",5,,,,,,3,2
"De 20 a 24 años (043)",8,,,,,,4,4
"De 25 a 29 años (044)",34,,,,,4,18,12
"De 30 a 34 años (045)",52,,,,,14,28,10
"De 35 a 39 años (046)",86,,,,,44,30,12
