"CUADRO Nº 10: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR AÑO EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,
,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",TOTAL,"GRUPO DE AÑOS EN QUE NACIÓ SU ÚLTIMO HIJO NACIDO VIVO",,,,,,"NO ESPECIFICADO"
,,"ANTES DE 1960","1960 A 1969","1970 A 1979","1980 A 1989","1990 A 1999","2000 A 2007",
,,,,,,,,
"Provincia QUISPICANCHI (000)",20320,107,323,775,1776,3729,7665,5945
"De 12 a 14 años (001)",39,,,,,,1,38
"De 15 a 19 años (002)",577,,,,,,314,263
"De 20 a 24 años (003)",2325,,,,,2,1293,1030
"De 25 a 29 años (004)",2682,,,,,79,1780,823
"De 30 a 34 años (005)",2435,,,,,349,1575,511
"De 35 a 39 años (006)",2413,,,,24,673,1308,408
"De 40 a 44 años (007)",2029,,,,77,726,872,354
"De 45 a 49 años (008)",1716,,,1,188,779,435,313
"De 50 y más años (009)",6104,107,323,774,1487,1121,87,2205
"Sin nivel (010)",7434,81,238,503,969,1327,2011,2305
"De 12 a 14 años (011)",2,,,,,,,2
"De 15 a 19 años (012)",40,,,,,,20,20
"De 20 a 24 años (013)",260,,,,,,165,95
"De 25 a 29 años (014)",494,,,,,4,363,127
"De 30 a 34 años (015)",575,,,,,52,409,114
"De 35 a 39 años (016)",670,,,,4,137,424,105
"De 40 a 44 años (017)",663,,,,12,175,354,122
"De 45 a 49 años (018)",669,,,1,40,293,219,116
"De 50 y más años (019)",4061,81,238,502,913,666,57,1604
"Educacion Inicial (020)",46,,,,,3,37,6
"De 15 a 19 años (022)",2,,,,,,2,
"De 20 a 24 años (023)",8,,,,,,6,2
"De 25 a 29 años (024)",11,,,,,,10,1
"De 30 a 34 años (025)",16,,,,,1,14,1
"De 35 a 39 años (026)",9,,,,,2,5,2
"Primaria (030)",8208,23,69,221,546,1611,3723,2015
"De 12 a 14 años (031)",21,,,,,,1,20
"De 15 a 19 años (032)",285,,,,,,170,115
"De 20 a 24 años (033)",1111,,,,,1,695,415
"De 25 a 29 años (034)",1241,,,,,36,905,300
"De 30 a 34 años (035)",1151,,,,,174,760,217
"De 35 a 39 años (036)",1133,,,,8,338,612,175
"De 40 a 44 años (037)",923,,,,30,357,384,152
"De 45 a 49 años (038)",708,,,,76,325,170,137
"De 50 y más años (039)",1635,23,69,221,432,380,26,484
"Secundaria (040)",3228,2,11,38,180,619,1421,957
"De 12 a 14 años (041)",16,,,,,,,16
"De 15 a 19 años (042)",244,,,,,,119,125
"De 20 a 24 años (043)",641,,,,,1,357,283
"De 25 a 29 años (044)",594,,,,,31,356,207
"De 30 a 34 años (045)",461,,,,,93,276,92
"De 35 a 39 años (046)",417,,,,10,159,183,65
"De 40 a 44 años (047)",323,,,,25,156,91,51
"De 45 a 49 años (048)",243,,,,54,118,35,36
"De 50 y más años (049)",289,2,11,38,91,61,4,82
"Sup. no Univ. incompleta (050)",347,,1,2,7,47,135,155
