"CUADRO Nº 13: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia GENERAL SANCHEZ CERRO (000)",10201,6931,1026,1025,1219
"Agric., ganadería, caza y silvicultura (001)",5659,5229,307,119,4
"Pesca (002)",100,74,24,2,
"Explotación de minas y canteras (003)",542,56,9,43,434
"Industrias manufactureras (004)",152,121,15,13,3
"Suministro de electricidad, gas y agua (005)",32,4,7,21,
"Construcción (006)",736,186,200,346,4
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",438,403,27,5,3
"Venta, mant.y rep. veh.autom y motoc. (008)",41,32,6,1,2
"Comercio al por mayor (009)",20,16,3,,1
"Comercio al por menor (010)",377,355,18,4,
"Hoteles y restaurantes (011)",118,90,6,10,12
"Trans., almac. y comunicaciones (012)",196,150,18,18,10
"Intermediación financiera (013)",3,1,,1,1
"Activid.inmobil., empres. y alquileres (014)",124,38,27,35,24
"Admin.pub. y defensa; p. segur soc.afil (015)",610,,,,610
"Enseñanza (016)",769,220,253,284,12
"Servicios sociales y de salud (017)",117,20,13,8,76
"Otras activ. serv.comun.soc y personales (018)",55,26,15,11,3
"Hogares privados con servicio doméstico (019)",55,55,,,
"Actividad economica no especificada (021)",495,258,105,109,23
"Hombres (022)",7108,4591,707,772,1038
"Agric., ganadería, caza y silvicultura (023)",3907,3606,213,85,3
"Pesca (024)",99,74,23,2,
"Explotación de minas y canteras (025)",521,45,8,39,429
"Industrias manufactureras (026)",104,81,11,9,3
"Suministro de electricidad, gas y agua (027)",28,4,7,17,
"Construcción (028)",700,184,190,323,3
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",189,167,17,3,2
"Venta, mant.y rep. veh.autom y motoc. (030)",36,28,5,1,2
"Comercio al por mayor (031)",14,11,3,,
"Comercio al por menor (032)",139,128,9,2,
"Hoteles y restaurantes (033)",32,17,2,5,8
"Trans., almac. y comunicaciones (034)",177,141,13,13,10
"Intermediación financiera (035)",2,,,1,1
"Activid.inmobil., empres. y alquileres (036)",95,26,20,26,23
"Admin.pub. y defensa; p. segur soc.afil (037)",493,,,,493
"Enseñanza (038)",343,64,118,155,6
"Servicios sociales y de salud (039)",54,9,7,2,36
"Otras activ. serv.comun.soc y personales (040)",32,15,9,6,2
"Hogares privados con servicio doméstico (041)",14,14,,,
