"CUADRO Nº 6: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia YUNGUYO (000)",19018,229,4710,5845,5789,2445
"Miembros p.ejec.y leg. direct., adm. pub.y emp. (001)",38,,5,15,18,
"Profes., científicos e intelectuales (002)",833,,175,423,227,8
"Técnicos de nivel medio y trab. asimilados (003)",137,,42,59,33,3
"Jefes y empleados de oficina (004)",168,,54,66,47,1
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",2097,17,663,825,498,94
"Agricult. trabaj. calif.agrop. y pesqueros (006)",7149,14,984,1851,2696,1604
"Obreros y oper.minas, cant.,ind.manuf. y otros (007)",1347,7,632,462,210,36
"Obreros construc., conf., papel, fab., instr. (008)",1157,,279,480,363,35
"Trabaj.no calif. serv., peon, vend.,amb.,y afines (009)",5673,190,1773,1526,1562,622
"Otra (010)",97,,18,54,25,
"Ocupación no especificada (011)",322,1,85,84,110,42
"Hombres (012)",10843,115,2605,3360,3316,1447
"Miembros p.ejec.y leg. direct., adm. pub.y emp. (013)",34,,4,13,17,
"Profes., científicos e intelectuales (014)",517,,92,247,171,7
"Técnicos de nivel medio y trab. asimilados (015)",95,,26,41,25,3
"Jefes y empleados de oficina (016)",122,,32,47,42,1
"Trab.de serv.pers.y vend.del comerc.y mcdo. (017)",893,5,268,358,222,40
"Agricult. trabaj. calif.agrop. y pesqueros (018)",4879,6,583,1261,1858,1171
"Obreros y oper.minas, cant.,ind.manuf. y otros (019)",983,3,466,340,151,23
"Obreros construc., conf., papel, fab., instr. (020)",1118,,261,464,359,34
"Trabaj.no calif. serv., peon, vend.,amb.,y afines (021)",1978,100,817,502,408,151
"Otra (022)",96,,18,54,24,
"Ocupación no especificada (023)",128,1,38,33,39,17
"Mujeres (024)",8175,114,2105,2485,2473,998
"Miembros p.ejec.y leg. direct., adm. pub.y emp. (025)",4,,1,2,1,
"Profes., científicos e intelectuales (026)",316,,83,176,56,1
"Técnicos de nivel medio y trab. asimilados (027)",42,,16,18,8,
"Jefes y empleados de oficina (028)",46,,22,19,5,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (029)",1204,12,395,467,276,54
"Agricult. trabaj. calif.agrop. y pesqueros (030)",2270,8,401,590,838,433
"Obreros y oper.minas, cant.,ind.manuf. y otros (031)",364,4,166,122,59,13
"Obreros construc., conf., papel, fab., instr. (032)",39,,18,16,4,1
"Trabaj.no calif. serv., peon, vend.,amb.,y afines (033)",3695,90,956,1024,1154,471
