"CUADRO Nº 6: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR GRANDES GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"GRANDES GRUPOS DE EDAD",,,,
,,"6 A 14 AÑOS","15 A 29 AÑOS","30 A 44 AÑOS","45 A 64 AÑOS","65 Y MÁS AÑOS"
,,,,,,
"Provincia LAMAS (000)",32666,1478,11900,10321,7157,1810
"Miembros p.ejec.y leg. direct., adm. pub.y emp. (001)",51,,2,34,15,
"Profes., científicos e intelectuales (002)",957,,172,529,250,6
"Técnicos de nivel medio y trab. asimilados (003)",291,,102,112,71,6
"Jefes y empleados de oficina (004)",409,,176,147,82,4
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",1708,24,481,665,432,106
"Agricult. trabaj. calif.agrop. y pesqueros (006)",14578,180,4237,4994,3977,1190
"Obreros y oper.minas, cant.,ind.manuf. y otros (007)",560,7,160,208,142,43
"Obreros construc., conf., papel, fab., instr. (008)",1022,2,410,388,201,21
"Trabaj.no calif. serv., peon, vend.,amb.,y afines (009)",12393,1260,5923,3019,1821,370
"Otra (010)",42,,9,29,4,
"Ocupación no especificada (011)",655,5,228,196,162,64
"Hombres (012)",23680,1014,8841,7409,5069,1347
"Miembros p.ejec.y leg. direct., adm. pub.y emp. (013)",43,,1,28,14,
"Profes., científicos e intelectuales (014)",527,,89,283,150,5
"Técnicos de nivel medio y trab. asimilados (015)",200,,72,71,53,4
"Jefes y empleados de oficina (016)",206,,76,78,48,4
"Trab.de serv.pers.y vend.del comerc.y mcdo. (017)",733,15,200,263,199,56
"Agricult. trabaj. calif.agrop. y pesqueros (018)",13090,134,3709,4631,3577,1039
"Obreros y oper.minas, cant.,ind.manuf. y otros (019)",438,4,142,159,100,33
"Obreros construc., conf., papel, fab., instr. (020)",1007,1,405,385,197,19
"Trabaj.no calif. serv., peon, vend.,amb.,y afines (021)",7254,856,4087,1438,701,172
"Otra (022)",42,,9,29,4,
"Ocupación no especificada (023)",140,4,51,44,26,15
"Mujeres (024)",8986,464,3059,2912,2088,463
"Miembros p.ejec.y leg. direct., adm. pub.y emp. (025)",8,,1,6,1,
"Profes., científicos e intelectuales (026)",430,,83,246,100,1
"Técnicos de nivel medio y trab. asimilados (027)",91,,30,41,18,2
"Jefes y empleados de oficina (028)",203,,100,69,34,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (029)",975,9,281,402,233,50
"Agricult. trabaj. calif.agrop. y pesqueros (030)",1488,46,528,363,400,151
"Obreros y oper.minas, cant.,ind.manuf. y otros (031)",122,3,18,49,42,10
"Obreros construc., conf., papel, fab., instr. (032)",15,1,5,3,4,2
