"CUADRO Nº 29: POBLACIÓN OCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"CATEGORIA DE OCUPACION",,,,,
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR"
,,,,,,,
"Provincia CHUCUITO (000)",43439,3706,2677,28651,256,7346,803
"Sin nivel (001)",3150,17,101,2053,16,859,104
"Educación inicial (002)",22,3,2,12,,5,
"Primaria (003)",14380,123,702,10489,67,2722,277
"Secundaria (004)",19791,808,1577,13482,133,3402,389
"Superior no univ. incompleta (005)",1526,307,113,943,9,132,22
"Superior no univ. completa (006)",2148,989,116,896,10,130,7
"Superior univ. incompleta (007)",609,214,30,312,7,44,2
"Superior univ. completa (008)",1813,1245,36,464,14,52,2
"Hombres (010)",26940,2761,2184,19292,193,2447,63
"Sin nivel (011)",966,6,34,805,9,107,5
"Educación inicial (012)",9,1,2,6,,,
"Primaria (013)",8102,69,529,6831,47,611,15
"Secundaria (014)",13298,614,1349,9669,103,1526,37
"Superior no univ. incompleta (015)",1133,247,102,700,8,72,4
"Superior no univ. completa (016)",1580,716,108,673,9,72,2
"Superior univ. incompleta (017)",467,171,27,234,5,30,
"Superior univ. completa (018)",1385,937,33,374,12,29,
"Mujeres (020)",16499,945,493,9359,63,4899,740
"Sin nivel (021)",2184,11,67,1248,7,752,99
"Educación inicial (022)",13,2,,6,,5,
"Primaria (023)",6278,54,173,3658,20,2111,262
"Secundaria (024)",6493,194,228,3813,30,1876,352
"Superior no univ. incompleta (025)",393,60,11,243,1,60,18
"Superior no univ. completa (026)",568,273,8,223,1,58,5
"Superior univ. incompleta (027)",142,43,3,78,2,14,2
"Superior univ. completa (028)",428,308,3,90,2,23,2
,,,,,,,
"URBANA (030)",12204,2356,925,7645,90,915,273
"Sin nivel (031)",395,8,22,293,2,63,7
"Educación inicial (032)",1,,,1,,,
"Primaria (033)",2474,79,193,1867,17,246,72
"Secundaria (034)",5859,516,536,4108,42,482,175
"Superior no univ. incompleta (035)",827,202,71,496,5,41,12
"Superior no univ. completa (036)",1171,613,62,438,8,46,4
"Superior univ. incompleta (037)",377,155,14,181,4,22,1
"Superior univ. completa (038)",1100,783,27,261,12,15,2
"Hombres (040)",7458,1685,812,4559,65,298,39
"Sin nivel (041)",122,4,9,103,1,5,
"Primaria (043)",1174,47,159,909,8,47,4
"Secundaria (044)",3707,387,485,2582,31,191,31
"Superior no univ. incompleta (045)",582,158,63,340,5,14,2
"Superior no univ. completa (046)",798,411,57,299,7,22,2
"Superior univ. incompleta (047)",275,121,13,124,3,14,
"Superior univ. completa (048)",800,557,26,202,10,5,
"Mujeres (050)",4746,671,113,3086,25,617,234
"Sin nivel (051)",273,4,13,190,1,58,7
"Educación inicial (052)",1,,,1,,,
"Primaria (053)",1300,32,34,958,9,199,68
"Secundaria (054)",2152,129,51,1526,11,291,144
"Superior no univ. incompleta (055)",245,44,8,156,,27,10
"Superior no univ. completa (056)",373,202,5,139,1,24,2
"Superior univ. incompleta (057)",102,34,1,57,1,8,1
"Superior univ. completa (058)",300,226,1,59,2,10,2
,,,,,,,
"RURAL (060)",31235,1350,1752,21006,166,6431,530
"Sin nivel (061)",2755,9,79,1760,14,796,97
"Educación inicial (062)",21,3,2,11,,5,
"Primaria (063)",11906,44,509,8622,50,2476,205
"Secundaria (064)",13932,292,1041,9374,91,2920,214
"Superior no univ. incompleta (065)",699,105,42,447,4,91,10
"Superior no univ. completa (066)",977,376,54,458,2,84,3
"Superior univ. incompleta (067)",232,59,16,131,3,22,1
"Superior univ. completa (068)",713,462,9,203,2,37,
"Hombres (070)",19482,1076,1372,14733,128,2149,24
"Sin nivel (071)",844,2,25,702,8,102,5
"Educación inicial (072)",9,1,2,6,,,
"Primaria (073)",6928,22,370,5922,39,564,11
"Secundaria (074)",9591,227,864,7087,72,1335,6
"Superior no univ. incompleta (075)",551,89,39,360,3,58,2
"Superior no univ. completa (076)",782,305,51,374,2,50,
"Superior univ. incompleta (077)",192,50,14,110,2,16,
"Superior univ. completa (078)",585,380,7,172,2,24,
"Mujeres (080)",11753,274,380,6273,38,4282,506
"Sin nivel (081)",1911,7,54,1058,6,694,92
"Educación inicial (082)",12,2,,5,,5,
"Primaria (083)",4978,22,139,2700,11,1912,194
"Secundaria (084)",4341,65,177,2287,19,1585,208
"Superior no univ. incompleta (085)",148,16,3,87,1,33,8
"Superior no univ. completa (086)",195,71,3,84,,34,3
"Superior univ. incompleta (087)",40,9,2,21,1,6,1
"Superior univ. completa (088)",128,82,2,31,,13,
