"CUADRO Nº 4: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS QUE SE ENCUENTRAN ACTUALMENTE VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS ACTUALMENTE VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS ACTUALMENTE VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia CONTUMAZA (000)",8542,8173,38,1642,1727,1317,1851,981,455,162,369,29101
"De 12 a 14 años (001)",8,2,,2,,,,,,,6,2
"De 15 a 19 años (002)",217,194,3,170,20,1,,,,,23,213
"De 20 a 24 años (003)",793,687,4,406,208,53,15,1,,,106,1052
"De 25 a 29 años (004)",886,809,4,316,293,121,72,3,,,77,1587
"De 30 a 34 años (005)",1007,966,2,243,332,198,153,36,2,,41,2402
"De 35 a 39 años (006)",949,917,1,131,261,219,238,59,7,1,32,2776
"De 40 a 44 años (007)",848,827,3,80,183,181,251,90,34,5,21,3011
"De 45 a 49 años (008)",798,780,4,85,146,144,250,113,29,9,18,2970
"De 50 y más años (009)",3036,2991,17,209,284,400,872,679,383,147,45,15088
"Sin nivel (010)",1191,1158,6,105,142,152,317,255,126,55,33,5546
"De 15 a 19 años (012)",6,6,,5,1,,,,,,,7
"De 20 a 24 años (013)",49,42,,22,13,5,2,,,,7,72
"De 25 a 29 años (014)",52,49,1,15,18,8,7,,,,3,103
"De 30 a 34 años (015)",64,60,1,10,12,13,15,8,1,,4,198
"De 35 a 39 años (016)",68,66,,5,14,13,22,9,3,,2,250
"De 40 a 44 años (017)",78,76,,3,12,10,24,19,8,,2,354
"De 45 a 49 años (018)",83,81,,6,9,12,30,18,4,2,2,363
"De 50 y más años (019)",791,778,4,39,63,91,217,201,110,53,13,4199
"Educacion Inicial (020)",7,6,,,1,2,2,1,,,1,23
"De 20 a 24 años (023)",2,1,,,,,1,,,,1,4
"De 25 a 29 años (024)",1,1,,,,1,,,,,,3
"De 30 a 34 años (025)",3,3,,,1,1,1,,,,,9
