"CUADRO Nº 6: VIVIENDAS PARTICULARES CON OCUPANTES PRESENTES Y TOTAL DE OCUPANTES PRESENTES, POR ÁREA URBANA Y RURAL, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",,,,,,
,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO Y TIPO DE VIVIENDA",TOTAL,,URBANA,,RURAL,
,"VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES","VIVIENDAS PARTICULARES","PERSONAS PRESENTES"
,,,,,,
"Provincia PIURA (000)",144522,661787,124264,569042,20258,92745
"Casa independiente (001)",137562,636756,118242,548157,19320,88599
"Departamento en edificio (002)",2445,8660,2445,8660,,
"Vivienda en quinta (003)",364,1325,364,1325,,
"Vivienda en casa de vecindad (004)",259,1064,259,1064,,
"Choza o cabaña (005)",931,4128,,,931,4128
"Vivienda improvisada (006)",2824,9507,2824,9507,,
"Local no dest.para hab. humana (007)",112,274,107,258,5,16
"Otro tipo (008)",25,73,23,71,2,2
