"CUADRO Nº 27: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y NIVEL EDUCATIVO ALCANZADO",TOTAL,"CATEGORIA DE OCUPACION",,,,,
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR"
,,,,,,,
"Provincia RIOJA (000)",36917,4957,5913,18852,1433,4426,1336
"Sin nivel (001)",1809,45,309,990,55,266,144
"Educación inicial (002)",55,3,18,19,1,11,3
"Primaria (003)",18080,658,3105,10358,823,2415,721
"Secundaria (004)",11953,1321,2176,6065,427,1548,416
"Superior no univ. incompleta (005)",956,343,102,378,39,71,23
"Superior no univ. completa (006)",1641,1006,109,425,28,58,15
"Superior univ. incompleta (007)",592,273,47,228,17,24,3
"Superior univ. completa (008)",1831,1308,47,389,43,33,11
"Hombres (010)",27713,2657,5151,15525,1284,3045,51
"Sin nivel (011)",1088,14,207,704,41,120,2
"Educación inicial (012)",35,,16,13,1,5,
"Primaria (013)",14166,302,2640,8799,758,1640,27
"Secundaria (014)",9356,818,2009,4952,380,1178,19
"Superior no univ. incompleta (015)",638,190,94,282,31,41,
"Superior no univ. completa (016)",937,489,101,293,25,27,2
"Superior univ. incompleta (017)",401,150,41,180,13,17,
"Superior univ. completa (018)",1092,694,43,302,35,17,1
"Mujeres (020)",9204,2300,762,3327,149,1381,1285
"Sin nivel (021)",721,31,102,286,14,146,142
"Educación inicial (022)",20,3,2,6,,6,3
"Primaria (023)",3914,356,465,1559,65,775,694
"Secundaria (024)",2597,503,167,1113,47,370,397
"Superior no univ. incompleta (025)",318,153,8,96,8,30,23
"Superior no univ. completa (026)",704,517,8,132,3,31,13
"Superior univ. incompleta (027)",191,123,6,48,4,7,3
"Superior univ. completa (028)",739,614,4,87,8,16,10
,,,,,,,
"URBANA (030)",27769,4814,4656,13578,956,2790,975
"Sin nivel (031)",1121,42,216,604,23,152,84
"Educación inicial (032)",44,3,13,16,,9,3
"Primaria (033)",11938,640,2265,6700,481,1354,498
"Secundaria (034)",9837,1276,1870,4900,333,1116,342
"Superior no univ. incompleta (035)",891,325,100,351,35,60,20
"Superior no univ. completa (036)",1571,971,103,408,27,47,15
"Superior univ. incompleta (037)",571,268,43,220,16,21,3
"Superior univ. completa (038)",1796,1289,46,379,41,31,10
"Hombres (040)",19764,2557,4055,10577,822,1711,42
"Sin nivel (041)",590,14,144,365,12,53,2
"Educación inicial (042)",26,,11,12,,3,
"Primaria (043)",8782,294,1914,5349,424,780,21
"Secundaria (044)",7445,781,1719,3844,290,795,16
"Superior no univ. incompleta (045)",585,176,92,258,27,32,
"Superior no univ. completa (046)",885,465,95,281,24,18,2
"Superior univ. incompleta (047)",384,147,38,172,12,15,
"Superior univ. completa (048)",1067,680,42,296,33,15,1
"Mujeres (050)",8005,2257,601,3001,134,1079,933
"Sin nivel (051)",531,28,72,239,11,99,82
"Educación inicial (052)",18,3,2,4,,6,3
"Primaria (053)",3156,346,351,1351,57,574,477
"Secundaria (054)",2392,495,151,1056,43,321,326
"Superior no univ. incompleta (055)",306,149,8,93,8,28,20
"Superior no univ. completa (056)",686,506,8,127,3,29,13
"Superior univ. incompleta (057)",187,121,5,48,4,6,3
"Superior univ. completa (058)",729,609,4,83,8,16,9
,,,,,,,
"RURAL (060)",9148,143,1257,5274,477,1636,361
"Sin nivel (061)",688,3,93,386,32,114,60
"Educación inicial (062)",11,,5,3,1,2,
"Primaria (063)",6142,18,840,3658,342,1061,223
"Secundaria (064)",2116,45,306,1165,94,432,74
"Superior no univ. incompleta (065)",65,18,2,27,4,11,3
"Superior no univ. completa (066)",70,35,6,17,1,11,
"Superior univ. incompleta (067)",21,5,4,8,1,3,
"Superior univ. completa (068)",35,19,1,10,2,2,1
"Hombres (070)",7949,100,1096,4948,462,1334,9
"Sin nivel (071)",498,,63,339,29,67,
"Educación inicial (072)",9,,5,1,1,2,
"Primaria (073)",5384,8,726,3450,334,860,6
"Secundaria (074)",1911,37,290,1108,90,383,3
"Superior no univ. incompleta (075)",53,14,2,24,4,9,
"Superior no univ. completa (076)",52,24,6,12,1,9,
"Superior univ. incompleta (077)",17,3,3,8,1,2,
"Superior univ. completa (078)",25,14,1,6,2,2,
"Mujeres (080)",1199,43,161,326,15,302,352
"Sin nivel (081)",190,3,30,47,3,47,60
"Educación inicial (082)",2,,,2,,,
"Primaria (083)",758,10,114,208,8,201,217
"Secundaria (084)",205,8,16,57,4,49,71
"Superior no univ. incompleta (085)",12,4,,3,,2,3
"Superior no univ. completa (086)",18,11,,5,,2,
"Superior univ. incompleta (087)",4,2,1,,,1,
"Superior univ. completa (088)",10,5,,4,,,1
