"CUADRO Nº 18: POBLACIÓN OCUPADA DE 14 Y MÁS AÑOS DE EDAD, POR CATEGORÍA DE OCUPACIÓN, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y OCUPACIÓN PRINCIPAL",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y OCUPACION PRINCIPAL",TOTAL,"CATEGORIA DE OCUPACION",,,,,
,,EMPLEADO,OBRERO,"TRABAJADOR INDEPENDIENTE","EMPLEADOR O PATRONO","TRABAJADOR FAMILIAR NO REMUNERADO","TRABAJADOR DEL HOGAR"
,,,,,,,
"Provincia SANTA CRUZ (000)",11054,1644,1379,5404,233,2186,208
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (001)",29,28,,,1,,
"Profes., científicos e intelectuales (002)",1084,990,,82,4,8,
"Técnicos de nivel medio y trab. asimilados (003)",143,113,,25,1,4,
"Jefes y empleados de oficina (004)",181,179,,1,,1,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (005)",525,54,5,398,13,55,
"Agricult.trabaj. calif.agrop. y pesqueros (006)",4500,,,4304,196,,
"Obreros y oper.minas, cant., ind.manuf.y otros (007)",272,,61,193,1,17,
"Obreros construc.,conf., papel, fab., instr. (008)",334,55,85,186,4,4,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (009)",3531,95,1184,96,,1948,208
"Otra (010)",55,55,,,,,
"Ocupación no especificada (011)",400,75,44,119,13,149,
"Hombres (012)",8817,930,1231,4836,211,1600,9
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (013)",25,24,,,1,,
"Profes., científicos e intelectuales (014)",575,521,,45,3,6,
"Técnicos de nivel medio y trab. asimilados (015)",80,61,,16,1,2,
"Jefes y empleados de oficina (016)",106,105,,1,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (017)",242,27,1,197,6,11,
"Agricult.trabaj. calif.agrop. y pesqueros (018)",4355,,,4169,186,,
"Obreros y oper.minas, cant., ind.manuf.y otros (019)",231,,56,157,1,17,
"Obreros construc.,conf., papel, fab., instr. (020)",326,54,82,182,4,4,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (021)",2691,58,1073,33,,1518,9
"Otra (022)",55,55,,,,,
"Ocupación no especificada (023)",131,25,19,36,9,42,
"Mujeres (024)",2237,714,148,568,22,586,199
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (025)",4,4,,,,,
"Profes., científicos e intelectuales (026)",509,469,,37,1,2,
"Técnicos de nivel medio y trab. asimilados (027)",63,52,,9,,2,
"Jefes y empleados de oficina (028)",75,74,,,,1,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (029)",283,27,4,201,7,44,
"Agricult.trabaj. calif.agrop. y pesqueros (030)",145,,,135,10,,
"Obreros y oper.minas, cant., ind.manuf.y otros (031)",41,,5,36,,,
"Obreros construc.,conf., papel, fab., instr. (032)",8,1,3,4,,,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (033)",840,37,111,63,,430,199
"Ocupación no especificada (035)",269,50,25,83,4,107,
,,,,,,,
"URBANA (036)",3049,1176,356,1159,42,209,107
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (037)",19,18,,,1,,
"Profes., científicos e intelectuales (038)",754,687,,60,3,4,
"Técnicos de nivel medio y trab. asimilados (039)",105,83,,18,1,3,
"Jefes y empleados de oficina (040)",137,135,,1,,1,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (041)",395,44,3,290,13,45,
"Agricult.trabaj. calif.agrop. y pesqueros (042)",427,,,409,18,,
"Obreros y oper.minas, cant., ind.manuf.y otros (043)",176,,40,125,1,10,
"Obreros construc.,conf., papel, fab., instr. (044)",263,45,67,145,4,2,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (045)",617,75,237,67,,131,107
"Otra (046)",54,54,,,,,
"Ocupación no especificada (047)",102,35,9,44,1,13,
"Hombres (048)",2014,675,315,857,34,127,6
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (049)",17,16,,,1,,
"Profes., científicos e intelectuales (050)",391,352,,34,2,3,
"Técnicos de nivel medio y trab. asimilados (051)",58,45,,11,1,1,
"Jefes y empleados de oficina (052)",76,75,,1,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (053)",176,23,1,138,6,8,
"Agricult.trabaj. calif.agrop. y pesqueros (054)",401,,,383,18,,
"Obreros y oper.minas, cant., ind.manuf.y otros (055)",157,,38,108,1,10,
"Obreros construc.,conf., papel, fab., instr. (056)",256,44,64,142,4,2,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (057)",382,51,206,22,,97,6
"Otra (058)",54,54,,,,,
"Ocupación no especificada (059)",46,15,6,18,1,6,
"Mujeres (060)",1035,501,41,302,8,82,101
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (061)",2,2,,,,,
"Profes., científicos e intelectuales (062)",363,335,,26,1,1,
"Técnicos de nivel medio y trab. asimilados (063)",47,38,,7,,2,
"Jefes y empleados de oficina (064)",61,60,,,,1,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (065)",219,21,2,152,7,37,
"Agricult.trabaj. calif.agrop. y pesqueros (066)",26,,,26,,,
"Obreros y oper.minas, cant., ind.manuf.y otros (067)",19,,2,17,,,
"Obreros construc.,conf., papel, fab., instr. (068)",7,1,3,3,,,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (069)",235,24,31,45,,34,101
"Ocupación no especificada (071)",56,20,3,26,,7,
,,,,,,,
"RURAL (072)",8005,468,1023,4245,191,1977,101
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (073)",10,10,,,,,
"Profes., científicos e intelectuales (074)",330,303,,22,1,4,
"Técnicos de nivel medio y trab. asimilados (075)",38,30,,7,,1,
"Jefes y empleados de oficina (076)",44,44,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (077)",130,10,2,108,,10,
"Agricult.trabaj. calif.agrop. y pesqueros (078)",4073,,,3895,178,,
"Obreros y oper.minas, cant., ind.manuf.y otros (079)",96,,21,68,,7,
"Obreros construc.,conf., papel, fab., instr. (080)",71,10,18,41,,2,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (081)",2914,20,947,29,,1817,101
"Otra (082)",1,1,,,,,
"Ocupación no especificada (083)",298,40,35,75,12,136,
"Hombres (084)",6803,255,916,3979,177,1473,3
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (085)",8,8,,,,,
"Profes., científicos e intelectuales (086)",184,169,,11,1,3,
"Técnicos de nivel medio y trab. asimilados (087)",22,16,,5,,1,
"Jefes y empleados de oficina (088)",30,30,,,,,
"Trab.de serv.pers.y vend.del comerc.y mcdo. (089)",66,4,,59,,3,
"Agricult.trabaj. calif.agrop. y pesqueros (090)",3954,,,3786,168,,
"Obreros y oper.minas, cant., ind.manuf.y otros (091)",74,,18,49,,7,
"Obreros construc.,conf., papel, fab., instr. (092)",70,10,18,40,,2,
"Trabaj.no calif.serv., peon, vend., amb.,y afines (093)",2309,7,867,11,,1421,3
"Otra (094)",1,1,,,,,
"Ocupación no especificada (095)",85,10,13,18,8,36,
"Mujeres (096)",1202,213,107,266,14,504,98
"Miembros p.ejec.y leg.direct., adm.pub.y emp. (097)",2,2,,,,,
"Profes., científicos e intelectuales (098)",146,134,,11,,1,
"Técnicos de nivel medio y trab. asimilados (099)",16,14,,2,,,
"Jefes y empleados de oficina (100)",14,14,,,,,
