"CUADRO Nº 11: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR TAMAÑO DE ESTABLECIMIENTO DONDE TRABAJA, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",,,,,
,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, NIVEL EDUCATIVO ALCANZADO Y GRANDES GRUPOS DE EDAD",TOTAL,"TAMAÑO DE ESTABLECIMIENTO",,,
,,"1 A 5 PERSONAS","6 A 10 PERSONAS","11 A 50 PERSONAS","51 Y MÁS PERSONAS"
,,,,,
"Provincia EL COLLAO (000)",31442,28239,1286,502,1415
"Sin nivel (001)",3611,3554,50,2,5
"Educación inicial (002)",31,29,2,,
"Primaria (003)",11459,11021,361,31,46
"Secundaria (004)",11978,11141,503,119,215
"Superior no univ. incompleta (005)",1059,774,57,35,193
"Superior no univ. completa (006)",1451,808,131,130,382
"Superior univ. incompleta (007)",553,375,38,23,117
"Superior univ. completa (008)",1300,537,144,162,457
"De 06 a 14 años (010)",469,438,29,2,
"Sin nivel (011)",5,4,1,,
"Educación inicial (012)",8,8,,,
"Primaria (013)",250,234,14,2,
"Secundaria (014)",206,192,14,,
"De 15 a 29 años (020)",8622,7624,420,134,444
"Sin nivel (021)",73,72,1,,
"Educación inicial (022)",11,9,2,,
"Primaria (023)",1374,1311,55,3,5
"Secundaria (024)",5503,5121,260,44,78
"Superior no univ. incompleta (025)",554,390,30,13,121
"Superior no univ. completa (026)",555,383,29,37,106
"Superior univ. incompleta (027)",225,171,16,7,31
"Superior univ. completa (028)",327,167,27,30,103
"De 30 a 44 años (030)",9722,8401,464,222,635
"Sin nivel (031)",321,311,10,,
"Educación inicial (032)",12,12,,,
"Primaria (033)",3077,2925,132,7,13
"Secundaria (034)",4342,4093,145,40,64
"Superior no univ. incompleta (035)",395,313,16,13,53
"Superior no univ. completa (036)",690,344,71,69,206
"Superior univ. incompleta (037)",209,136,11,11,51
"Superior univ. completa (038)",676,267,79,82,248
"De 45 a 64 años (040)",8834,8057,331,134,312
"Sin nivel (041)",1546,1515,26,2,3
"Primaria (043)",4841,4671,137,14,19
"Secundaria (044)",1768,1587,81,32,68
"Superior no univ. incompleta (045)",100,64,10,8,18
"Superior no univ. completa (046)",194,73,30,23,68
"Superior univ. incompleta (047)",112,62,11,5,34
"Superior univ. completa (048)",273,85,36,50,102
"De 65 y más años (050)",3795,3719,42,10,24
"Sin nivel (051)",1666,1652,12,,2
"Primaria (053)",1917,1880,23,5,9
"Secundaria (054)",159,148,3,3,5
"Superior no univ. incompleta (055)",10,7,1,1,1
"Superior no univ. completa (056)",12,8,1,1,2
"Superior univ. incompleta (057)",7,6,,,1
"Superior univ. completa (058)",24,18,2,,4
,,,,,
