"CUADRO Nº 14: POBLACIÓN OCUPADA DE 6 Y MÁS AÑOS DE EDAD, POR NIVEL EDUCATIVO ALCANZADO, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONÓMICA",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y RAMA DE ACTIVIDAD ECONOMICA",TOTAL,"NIVEL EDUCATIVO ALCANZADO",,,,,,,
,,"SIN NIVEL","EDUCACIÓN INICIAL",PRIMARIA,SECUNDARIA,"SUP. NO UNIV. INCOMPLETA","SUP. NO UNIV. COMPLETA","SUP. UNIV. INCOMPLETA","SUP. UNIV. COMPLETA"
,,,,,,,,,
"Provincia HUANTA (000)",27905,3720,32,10922,8961,805,1730,486,1249
"Agric., ganadería, caza y silvicultura (001)",17707,3093,24,8571,5452,195,192,99,81
"Pesca (002)",10,,,4,4,,,,2
"Explotación de minas y canteras (003)",25,,,7,15,1,1,,1
"Industrias manufactureras (004)",588,29,,167,276,41,36,19,20
"Suministro de electricidad, gas y agua (005)",20,2,,1,6,2,5,3,1
"Construcción (006)",1028,50,1,401,457,26,40,16,37
"Comerc., rep. veh. autom.,motoc. efect. pers. (007)",2939,236,4,851,1144,195,264,103,142
"Venta, mant.y rep. veh.autom.y motoc. (008)",204,1,,23,112,26,28,5,9
"Comercio al por mayor (009)",108,2,,27,38,8,10,9,14
"Comercio al por menor (010)",2627,233,4,801,994,161,226,89,119
"Hoteles y restaurantes (011)",683,64,,204,298,37,46,19,15
"Trans., almac. y comunicaciones (012)",867,14,2,161,519,51,62,27,31
"Intermediación financiera (013)",27,,,,5,2,10,2,8
"Activid.inmobil., empres. y de alquiler (014)",252,1,,18,39,37,46,34,77
"Admin.pub. y defensa; p. segur.soc.afil (015)",549,18,,88,148,38,103,50,104
"Enseñanza (016)",1472,,,4,81,89,750,52,496
"Servicios sociales y de salud (017)",286,1,,1,16,8,90,19,151
"Otras activ. serv.comun.soc y personales (018)",337,31,,63,112,32,38,21,40
"Hogares privados con servicio doméstico (019)",345,35,1,109,171,18,6,2,3
"Actividad economica no especificada (021)",770,146,,272,218,33,41,20,40
"Hombres (022)",19171,1820,17,8023,6880,497,861,343,730
"Agric., ganadería, caza y silvicultura (023)",13634,1688,13,6826,4643,162,142,90,70
"Pesca (024)",9,,,3,4,,,,2
"Explotación de minas y canteras (025)",24,,,6,15,1,1,,1
"Industrias manufactureras (026)",421,14,,131,209,25,12,14,16
"Suministro de electricidad, gas y agua (027)",18,1,,1,5,2,5,3,1
"Construcción (028)",968,40,1,371,443,24,38,15,36
"Comerc., rep. veh. autom.,motoc. efect. pers. (029)",1218,27,1,271,577,94,118,61,69
"Venta, mant.y rep. veh.autom.y motoc. (030)",183,1,,19,103,24,25,4,7
"Comercio al por mayor (031)",50,,,8,21,3,4,6,8
"Comercio al por menor (032)",985,26,1,244,453,67,89,51,54
"Hoteles y restaurantes (033)",169,3,,40,92,12,11,5,6
"Trans., almac. y comunicaciones (034)",827,14,2,157,496,50,57,25,26
"Intermediación financiera (035)",16,,,,4,1,4,2,5
"Activid.inmobil., empres. y de alquiler (036)",182,,,15,29,25,28,25,60
"Admin.pub. y defensa; p. segur.soc.afil (037)",389,3,,54,117,29,71,39,76
"Enseñanza (038)",657,,,1,35,34,311,28,248
"Servicios sociales y de salud (039)",120,,,,10,3,32,7,68
"Otras activ. serv.comun.soc y personales (040)",158,1,,29,57,19,13,16,23
"Hogares privados con servicio doméstico (041)",35,3,,12,17,,,1,2
"Actividad economica no especificada (043)",326,26,,106,127,16,18,12,21
"Mujeres (044)",8734,1900,15,2899,2081,308,869,143,519
