"CUADRO Nº 2: POBLACIÓN FEMENINA DE 12 Y MÁS AÑOS DE EDAD, POR NÚMERO DE HIJOS NACIDOS VIVOS, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD",,,,,,,,,,,,
,,,,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, ESTADO CIVIL Y GRUPOS QUINQUENALES DE EDAD","TOTAL DE MUJERES","POBLACIÓN FEMENINA POR NÚMERO DE HIJOS NACIDOS VIVOS",,,,,,,,,"SIN DECLARACIÓN","TOTAL DE HIJOS NACIDOS VIVOS"
,,TOTAL,0,1,2,3,"4 A 5","6 A 7","8 A 9","10 A MÁS",,
,,,,,,,,,,,,
"Provincia PAITA (000)",39827,38182,11724,5518,5906,4515,5132,2597,1420,1370,1645,98099
"De 12 a 14 años (001)",3603,3587,3577,8,2,,,,,,16,12
"De 15 a 19 años (002)",5633,5493,4806,614,66,6,1,,,,140,768
"De 20 a 24 años (003)",5020,4504,1651,1807,830,175,36,5,,,516,4173
"De 25 a 29 años (004)",4848,4493,585,1347,1606,689,246,19,1,,355,7790
"De 30 a 34 años (005)",4259,4077,278,658,1315,1004,731,88,2,1,182,10045
"De 35 a 39 años (006)",3756,3619,189,384,870,949,960,215,41,11,137,10955
"De 40 a 44 años (007)",3115,3017,156,226,515,700,949,351,94,26,98,10835
"De 45 a 49 años (008)",2476,2424,104,148,300,419,751,455,168,79,52,10568
"De 50 y más años (009)",7117,6968,378,326,402,573,1458,1464,1114,1253,149,42953
"Conviviente (010)",9565,9302,707,2530,2426,1469,1328,467,222,153,263,24230
"De 12 a 14 años (011)",31,18,16,2,,,,,,,13,2
"De 15 a 19 años (012)",871,755,254,449,47,5,,,,,116,558
"De 20 a 24 años (013)",1925,1860,204,994,529,107,22,4,,,65,2491
"De 25 a 29 años (014)",2057,2032,81,619,828,371,123,9,1,,25,3970
"De 30 a 34 años (015)",1597,1577,45,247,503,416,323,41,1,1,20,4176
"De 35 a 39 años (016)",1136,1124,28,95,267,307,341,70,16,,12,3611
"De 40 a 44 años (017)",718,715,25,56,141,144,220,98,30,1,3,2629
"De 45 a 49 años (018)",429,425,16,21,56,62,142,77,34,17,4,1928
"De 50 y más años (019)",801,796,38,47,55,57,157,168,140,134,5,4865
"Separado(a) (020)",1887,1858,34,566,402,290,312,160,52,42,29,5544
"De 12 a 14 años (021)",2,1,1,,,,,,,,1,
"De 15 a 19 años (022)",56,52,7,38,7,,,,,,4,52
