"CUADRO Nº 8: POBLACIÓN DE 3 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ALFABETISMO",,,,,,,,,
,,,,,,,,,
"DEPARTAMENTO, PROVINCIA, DISTRITO, ÁREA URBANA Y RURAL, SEXO Y CONDICIÓN DE ALFABETISMO",TOTAL,"GRUPOS DE EDAD",,,,,,,
,,"3 A 4 AÑOS","5 A 9 AÑOS","10 A 14 AÑOS","15 A 19 AÑOS","20 A 29 AÑOS","30 A 39 AÑOS","40 A 64 AÑOS","65 A MÁS AÑOS"
,,,,,,,,,
"Provincia ILO (000)",60591,2294,5522,5974,5394,11355,10843,15658,3551
"Sabe leer y escribir (001)",56272,,4443,5954,5376,11309,10794,15252,3144
"No sabe leer y escribir (002)",4319,2294,1079,20,18,46,49,406,407
"Hombres (004)",30655,1162,2772,3062,2735,5588,5307,8057,1972
"Sabe leer y escribir (005)",28758,,2223,3052,2727,5569,5292,8006,1889
"No sabe leer y escribir (006)",1897,1162,549,10,8,19,15,51,83
"Mujeres (008)",29936,1132,2750,2912,2659,5767,5536,7601,1579
"Sabe leer y escribir (009)",27514,,2220,2902,2649,5740,5502,7246,1255
"No sabe leer y escribir (010)",2422,1132,530,10,10,27,34,355,324
,,,,,,,,,
"URBANA (012)",59891,2291,5507,5951,5207,11157,10755,15505,3518
"Sabe leer y escribir (013)",55582,,4433,5932,5189,11111,10706,15099,3112
"No sabe leer y escribir (014)",4309,2291,1074,19,18,46,49,406,406
"Hombres (016)",30084,1161,2765,3046,2562,5420,5230,7945,1955
"Sabe leer y escribir (017)",28191,,2217,3037,2554,5401,5215,7894,1873
"No sabe leer y escribir (018)",1893,1161,548,9,8,19,15,51,82
"Mujeres (020)",29807,1130,2742,2905,2645,5737,5525,7560,1563
"Sabe leer y escribir (021)",27391,,2216,2895,2635,5710,5491,7205,1239
"No sabe leer y escribir (022)",2416,1130,526,10,10,27,34,355,324
,,,,,,,,,
"RURAL (024)",700,3,15,23,187,198,88,153,33
"Sabe leer y escribir (025)",690,,10,22,187,198,88,153,32
"No sabe leer y escribir (026)",10,3,5,1,,,,,1
"Hombres (028)",571,1,7,16,173,168,77,112,17
"Sabe leer y escribir (029)",567,,6,15,173,168,77,112,16
"No sabe leer y escribir (030)",4,1,1,1,,,,,1
"Mujeres (032)",129,2,8,7,14,30,11,41,16
"Sabe leer y escribir (033)",123,,4,7,14,30,11,41,16
"No sabe leer y escribir (034)",6,2,4,,,,,,
