"CUADRO Nº 2: POBLACIÓN DE 12 Y MÁS AÑOS DE EDAD, POR GRUPOS DE EDAD, SEGÚN DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",,,,,,,
,,,,,,,
"DEPARTAMENTO, PROVINCIA, ÁREA URBANA Y RURAL, SEXO Y ESTADO CIVIL",TOTAL,"GRUPOS DE EDAD",,,,,
,,"12 A 16 AÑOS","17 A 24 AÑOS","25 A 34 AÑOS","35 A 44 AÑOS","45 A 54 AÑOS","55 A MÁS AÑOS"
,,,,,,,
"Provincia TOCACHE (000)",53806,8600,12043,11033,10185,6389,5556
"Conviviente (001)",20322,295,3742,6604,5516,2706,1459
"Separado(a) (002)",1852,19,169,357,493,380,434
"Casado(a) (003)",9528,23,323,1581,2912,2419,2270
"Viudo(a) (004)",1480,2,13,43,158,290,974
"Divorciado(a) (005)",205,,9,26,37,52,81
"Soltero(a) (006)",20419,8261,7787,2422,1069,542,338
"Hombres (008)",30958,4527,7179,6400,5752,3857,3243
"Conviviente (009)",10527,63,1291,3555,3052,1643,923
"Separado(a) (010)",892,5,33,145,243,208,258
"Casado(a) (011)",5115,10,96,725,1491,1393,1400
"Viudo(a) (012)",488,1,4,14,62,88,319
"Divorciado(a) (013)",136,,4,15,25,39,53
"Soltero(a) (014)",13800,4448,5751,1946,879,486,290
"Mujeres (016)",22848,4073,4864,4633,4433,2532,2313
"Conviviente (017)",9795,232,2451,3049,2464,1063,536
"Separado(a) (018)",960,14,136,212,250,172,176
"Casado(a) (019)",4413,13,227,856,1421,1026,870
"Viudo(a) (020)",992,1,9,29,96,202,655
"Divorciado(a) (021)",69,,5,11,12,13,28
"Soltero(a) (022)",6619,3813,2036,476,190,56,48
,,,,,,,
"URBANA (024)",27921,4501,6363,5548,5305,3398,2806
"Conviviente (025)",9834,133,1661,3200,2785,1407,648
"Separado(a) (026)",901,10,92,191,240,175,193
"Casado(a) (027)",5445,12,180,866,1675,1417,1295
"Viudo(a) (028)",719,,9,15,67,149,479
"Divorciado(a) (029)",111,,3,16,20,24,48
"Soltero(a) (030)",10911,4346,4418,1260,518,226,143
"Hombres (032)",15371,2288,3709,3077,2807,1945,1545
"Conviviente (033)",4974,38,547,1681,1466,846,396
"Separado(a) (034)",341,2,17,73,87,71,91
"Casado(a) (035)",2876,4,52,380,855,800,785
"Viudo(a) (036)",186,,2,4,17,30,133
"Divorciado(a) (037)",64,,1,9,12,15,27
"Soltero(a) (038)",6930,2244,3090,930,370,183,113
"Mujeres (040)",12550,2213,2654,2471,2498,1453,1261
"Conviviente (041)",4860,95,1114,1519,1319,561,252
"Separado(a) (042)",560,8,75,118,153,104,102
"Casado(a) (043)",2569,8,128,486,820,617,510
"Viudo(a) (044)",533,,7,11,50,119,346
"Divorciado(a) (045)",47,,2,7,8,9,21
"Soltero(a) (046)",3981,2102,1328,330,148,43,30
,,,,,,,
"RURAL (048)",25885,4099,5680,5485,4880,2991,2750
"Conviviente (049)",10488,162,2081,3404,2731,1299,811
"Separado(a) (050)",951,9,77,166,253,205,241
"Casado(a) (051)",4083,11,143,715,1237,1002,975
"Viudo(a) (052)",761,2,4,28,91,141,495
"Divorciado(a) (053)",94,,6,10,17,28,33
"Soltero(a) (054)",9508,3915,3369,1162,551,316,195
"Hombres (056)",15587,2239,3470,3323,2945,1912,1698
"Conviviente (057)",5553,25,744,1874,1586,797,527
"Separado(a) (058)",551,3,16,72,156,137,167
"Casado(a) (059)",2239,6,44,345,636,593,615
"Viudo(a) (060)",302,1,2,10,45,58,186
"Divorciado(a) (061)",72,,3,6,13,24,26
"Soltero(a) (062)",6870,2204,2661,1016,509,303,177
"Mujeres (064)",10298,1860,2210,2162,1935,1079,1052
"Conviviente (065)",4935,137,1337,1530,1145,502,284
"Separado(a) (066)",400,6,61,94,97,68,74
"Casado(a) (067)",1844,5,99,370,601,409,360
"Viudo(a) (068)",459,1,2,18,46,83,309
"Divorciado(a) (069)",22,,3,4,4,4,7
"Soltero(a) (070)",2638,1711,708,146,42,13,18
